binomial,valid,Order,sub-order,Family,max length (mm),length measure,conversion equation source*,intercept,slope,log mass,mass (g),in tree,name in tree,
Amphisbaena_talisiae,yes,Squamata,Amphisbaenia,Amphisbaenidae,105,SVL,Amphisbaenidae,-8.647,4.007,-0.55,0.3,no,NA,
Cynisca_degrysi,yes,Squamata,Amphisbaenia,Amphisbaenidae,107,SVL,Amphisbaenidae,-8.647,4.007,-0.52,0.3,no,NA,
Amphisbaena_tragorrhectes,yes,Squamata,Amphisbaenia,Amphisbaenidae,110,SVL,Amphisbaenidae,-8.647,4.007,-0.47,0.3,no,NA,
Amphisbaena_slevini,yes,Squamata,Amphisbaenia,Amphisbaenidae,120,SVL,Amphisbaenidae,-8.647,4.007,-0.34,0.5,no,NA,
Amphisbaena_heathi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA,
Cynisca_haugi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA,
Cynisca_rouxae,yes,Squamata,Amphisbaenia,Amphisbaenidae,124,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA,
Amphisbaena_maranhensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,125,SVL,Amphisbaenidae,-8.647,4.007,-0.24,0.6,no,NA,
Amphisbaena_carvalhoi,yes,Squamata,Amphisbaenia,Amphisbaenidae,129,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA,
Chirindia_rondoensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,129,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA,
Cynisca_manei,yes,Squamata,Amphisbaenia,Amphisbaenidae,129,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA,
Amphisbaena_hogei,yes,Squamata,Amphisbaenia,Amphisbaenidae,130,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA,
Amphisbaena_mensae,yes,Squamata,Amphisbaenia,Amphisbaenidae,130,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA,
Cynisca_bifrontalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,131,SVL,Amphisbaenidae,-8.647,4.007,-0.16,0.7,no,NA,
Amphisbaena_brevis,yes,Squamata,Amphisbaenia,Amphisbaenidae,137,SVL,Amphisbaenidae,-8.647,4.007,-0.09,0.8,no,NA,
Amphisbaena_albocingulata,yes,Squamata,Amphisbaenia,Amphisbaenidae,138,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA,
Cynisca_senegalensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,138,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA,
Amphisbaena_slateri,yes,Squamata,Amphisbaenia,Amphisbaenidae,139,SVL,Amphisbaenidae,-8.647,4.007,-0.06,0.9,no,NA,
Amphisbaena_miringoera,yes,Squamata,Amphisbaenia,Amphisbaenidae,142,SVL,Amphisbaenidae,-8.647,4.007,-0.02,0.9,no,NA,
Cynisca_oligopholis,yes,Squamata,Amphisbaenia,Amphisbaenidae,147,SVL,Amphisbaenidae,-8.647,4.007,0.04,1.1,no,NA,
Amphisbaena_crisae,yes,Squamata,Amphisbaenia,Amphisbaenidae,149,SVL,Amphisbaenidae,-8.647,4.007,0.06,1.2,no,NA,
Agamodon_compressus,yes,Squamata,Amphisbaenia,Trogonophiidae,103,SVL,Amphisbaenia,-5.858,2.943,0.07,1.2,no,NA,
Amphisbaena_neglecta,yes,Squamata,Amphisbaenia,Amphisbaenidae,150,SVL,Amphisbaenidae,-8.647,4.007,0.07,1.2,no,NA,
Amphisbaena_hastata,yes,Squamata,Amphisbaenia,Amphisbaenidae,152,SVL,Amphisbaenidae,-8.647,4.007,0.1,1.2,yes,Amphisbaena hastata,
Amphisbaena_pericensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,153,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA,
Amphisbaena_vanzolinii,yes,Squamata,Amphisbaenia,Amphisbaenidae,153,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA,
Chirindia_ewerbecki,yes,Squamata,Amphisbaenia,Amphisbaenidae,153,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA,
Cynisca_leonina,yes,Squamata,Amphisbaenia,Amphisbaenidae,155,SVL,Amphisbaenidae,-8.647,4.007,0.13,1.3,no,NA,
Amphisbaena_leeseri,yes,Squamata,Amphisbaenia,Amphisbaenidae,156,SVL,Amphisbaenidae,-8.647,4.007,0.14,1.4,yes,Amphisbaena leeseri,
Amphisbaena_lumbricalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,156,SVL,Amphisbaenidae,-8.647,4.007,0.14,1.4,no,NA,
Amphisbaena_caiari,yes,Squamata,Amphisbaenia,Amphisbaenidae,157,SVL,Amphisbaenidae,-8.647,4.007,0.15,1.4,no,NA,
Chirindia_langi,yes,Squamata,Amphisbaenia,Amphisbaenidae,158,SVL,Amphisbaenidae,-8.647,4.007,0.16,1.5,no,NA,
Cynisca_liberiensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,158,SVL,Amphisbaenidae,-8.647,4.007,0.16,1.5,no,NA,
Cynisca_gansi,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.5,SVL,Amphisbaenidae,-8.647,4.007,0.17,1.5,no,NA,
Chirindia_swynnertoni,yes,Squamata,Amphisbaenia,Amphisbaenidae,160,SVL,Amphisbaenidae,-8.647,4.007,0.18,1.5,yes,Chirindia swynnertoni,
Cynisca_kraussi,yes,Squamata,Amphisbaenia,Amphisbaenidae,160,SVL,Amphisbaenidae,-8.647,4.007,0.18,1.5,no,NA,
Amphisbaena_persephone,yes,Squamata,Amphisbaenia,Amphisbaenidae,161,SVL,Amphisbaenidae,-8.647,4.007,0.2,1.6,no,NA,
Cynisca_williamsi,yes,Squamata,Amphisbaenia,Amphisbaenidae,161,SVL,Amphisbaenidae,-8.647,4.007,0.2,1.6,no,NA,
Amphisbaena_silvestrii,yes,Squamata,Amphisbaenia,Amphisbaenidae,162,SVL,Amphisbaenidae,-8.647,4.007,0.21,1.6,yes,Amphisbaena silvestrii,
Amphisbaena_uroxena,yes,Squamata,Amphisbaenia,Amphisbaenidae,163,SVL,Amphisbaenidae,-8.647,4.007,0.22,1.6,no,NA,
Amphisbaena_mitchelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,165,SVL,Amphisbaenidae,-8.647,4.007,0.24,1.7,no,NA,
Amphisbaena_sanctaeritae,yes,Squamata,Amphisbaenia,Amphisbaenidae,165,SVL,Amphisbaenidae,-8.647,4.007,0.24,1.7,no,NA,
Amphisbaena_carlgansi,yes,Squamata,Amphisbaenia,Amphisbaenidae,168,SVL,Amphisbaenidae,-8.647,4.007,0.27,1.9,yes,Amphisbaena carlgansi,
Amphisbaena_nigricauda,yes,Squamata,Amphisbaenia,Amphisbaenidae,168,SVL,Amphisbaenidae,-8.647,4.007,0.27,0.2,no,NA,
Cynisca_feae,yes,Squamata,Amphisbaenia,Amphisbaenidae,168,SVL,Amphisbaenidae,-8.647,4.007,0.27,1.9,no,NA,
Amphisbaena_gracilis,yes,Squamata,Amphisbaenia,Amphisbaenidae,170,SVL,Amphisbaenidae,-8.647,4.007,0.29,2,no,NA,
Cynisca_kigomensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,170,SVL,Amphisbaenidae,-8.647,4.007,0.29,2,no,NA,
Amphisbaena_munoai,yes,Squamata,Amphisbaenia,Amphisbaenidae,172,SVL,Amphisbaenidae,-8.647,4.007,0.31,2,yes,Amphisbaena munoai,
Cynisca_nigeriensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,173,SVL,Amphisbaenidae,-8.647,4.007,0.32,2.1,no,NA,
Chirindia_mpwapwaensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,175,SVL,Amphisbaenidae,-8.647,4.007,0.34,2.2,no,NA,
Cynisca_muelleri,yes,Squamata,Amphisbaenia,Amphisbaenidae,175,SVL,Amphisbaenidae,-8.647,4.007,0.34,2.2,no,NA,
Amphisbaena_barbouri,yes,Squamata,Amphisbaenia,Amphisbaenidae,177,SVL,Amphisbaenidae,-8.647,4.007,0.36,2.3,yes,Amphisbaena barbouri,
Agamodon_arabicus,yes,Squamata,Amphisbaenia,Trogonophiidae,130,SVL,Amphisbaenia,-5.858,2.943,0.36,2.3,no,NA,
Amphisbaena_anaemariae,yes,Squamata,Amphisbaenia,Amphisbaenidae,179,SVL,Amphisbaenidae,-8.647,4.007,0.38,2.4,yes,Amphisbaena anaemariae,
Amphisbaena_medemi,yes,Squamata,Amphisbaenia,Amphisbaenidae,184,SVL,Amphisbaenidae,-8.647,4.007,0.43,2.7,no,NA,
Loveridgea_ionidesii,yes,Squamata,Amphisbaenia,Amphisbaenidae,184,SVL,Amphisbaenidae,-8.647,4.007,0.43,2.7,no,NA,
Zygaspis_vandami,yes,Squamata,Amphisbaenia,Amphisbaenidae,185,SVL,Amphisbaenidae,-8.647,4.007,0.44,2.7,no,NA,
Zygaspis_violacea,yes,Squamata,Amphisbaenia,Amphisbaenidae,185,SVL,Amphisbaenidae,-8.647,4.007,0.44,2.7,no,NA,
Amphisbaena_ignatiana,yes,Squamata,Amphisbaenia,Amphisbaenidae,188,SVL,Amphisbaenidae,-8.647,4.007,0.47,2.9,yes,Amphisbaena ignatiana,
Amphisbaena_myersi,yes,Squamata,Amphisbaenia,Amphisbaenidae,188,SVL,Amphisbaenidae,-8.647,4.007,0.47,2.9,no,NA,
Monopeltis_kabindae,yes,Squamata,Amphisbaenia,Amphisbaenidae,188,SVL,Amphisbaenidae,-8.647,4.007,0.47,2.9,no,NA,
Amphisbaena_borelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,193,SVL,Amphisbaenidae,-8.647,4.007,0.51,3.2,no,NA,
Amphisbaena_arenaria,yes,Squamata,Amphisbaenia,Amphisbaenidae,195,SVL,Amphisbaenidae,-8.647,4.007,0.53,3.4,no,NA,
Amphisbaena_supernumeraria,yes,Squamata,Amphisbaenia,Amphisbaenidae,195,SVL,Amphisbaenidae,-8.647,4.007,0.53,3.4,no,NA,
Loveridgea_phylofiniens,yes,Squamata,Amphisbaenia,Amphisbaenidae,195,SVL,Amphisbaenidae,-8.647,4.007,0.53,3.4,no,NA,
Amphisbaena_rozei,yes,Squamata,Amphisbaenia,Amphisbaenidae,196,SVL,Amphisbaenidae,-8.647,4.007,0.54,3.5,no,NA,
Cynisca_schaeferi,yes,Squamata,Amphisbaenia,Amphisbaenidae,197,SVL,Amphisbaenidae,-8.647,4.007,0.55,3.5,no,NA,
Ancylocranium_somalicum,yes,Squamata,Amphisbaenia,Amphisbaenidae,202,SVL,Amphisbaenidae,-8.647,4.007,0.59,3.9,no,NA,
Amphisbaena_hiata,yes,Squamata,Amphisbaenia,Amphisbaenidae,204,SVL,Amphisbaenidae,-8.647,4.007,0.61,4.1,no,NA,
Amphisbaena_cubana,yes,Squamata,Amphisbaenia,Amphisbaenidae,206,SVL,Amphisbaenidae,-8.647,4.007,0.62,4.2,yes,Amphisbaena cubana,
Baikia_africana,yes,Squamata,Amphisbaenia,Amphisbaenidae,206,SVL,Amphisbaenidae,-8.647,4.007,0.62,4.2,no,NA,
Bipes_tridactylus,yes,Squamata,Amphisbaenia,Bipedidae,160,SVL,Amphisbaenia,-5.858,2.943,0.63,4.3,yes,Bipes tridactylus,
Amphisbaena_manni,yes,Squamata,Amphisbaenia,Amphisbaenidae,212,SVL,Amphisbaenidae,-8.647,4.007,0.67,4.7,yes,Amphisbaena manni,
Amphisbaena_bahiana,yes,Squamata,Amphisbaenia,Amphisbaenidae,215,SVL,Amphisbaenidae,-8.647,4.007,0.7,5,no,NA,
Amphisbaena_cayemite,yes,Squamata,Amphisbaenia,Amphisbaenidae,220,SVL,Amphisbaenidae,-8.647,4.007,0.74,5.5,no,NA,
Zygaspis_kafuensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,220,SVL,Amphisbaenidae,-8.647,4.007,0.74,5.5,no,NA,
Zygaspis_dolichomenta,yes,Squamata,Amphisbaenia,Amphisbaenidae,226,SVL,Amphisbaenidae,-8.647,4.007,0.79,6.1,no,NA,
Amphisbaena_polygrammica,yes,Squamata,Amphisbaenia,Amphisbaenidae,227,SVL,Amphisbaenidae,-8.647,4.007,0.79,6.2,no,NA,
Amphisbaena_cegei,yes,Squamata,Amphisbaenia,Amphisbaenidae,229,SVL,Amphisbaenidae,-8.647,4.007,0.81,6.4,no,NA,
Diplometopon_zarudnyi,yes,Squamata,Amphisbaenia,Trogonophiidae,185,SVL,Amphisbaenia,-5.858,2.943,0.81,6.5,yes,Diplometopon zarudnyi,
Amphisbaena_prunicolor,yes,Squamata,Amphisbaenia,Amphisbaenidae,238,SVL,Amphisbaenidae,-8.647,4.007,0.88,7.5,no,NA,
Amphisbaena_schmidti,yes,Squamata,Amphisbaenia,Amphisbaenidae,240,SVL,Amphisbaenidae,-8.647,4.007,0.89,7.8,yes,Amphisbaena schmidti,
Geocalamus_modestus,yes,Squamata,Amphisbaenia,Amphisbaenidae,240,SVL,Amphisbaenidae,-8.647,4.007,0.89,7.8,no,NA,
Pachycalamus_brevis,yes,Squamata,Amphisbaenia,Trogonophiidae,198,SVL,Amphisbaenia,-5.858,2.943,0.9,8,no,NA,
Amphisbaena_absaberi,yes,Squamata,Amphisbaenia,Amphisbaenidae,242,SVL,Amphisbaenidae,-8.647,4.007,0.9,8,no,NA,
Amphisbaena_fenestrata,yes,Squamata,Amphisbaenia,Amphisbaenidae,242,SVL,Amphisbaenidae,-8.647,4.007,0.9,8,yes,Amphisbaena fenestrata,
Amphisbaena_kingii,yes,Squamata,Amphisbaenia,Amphisbaenidae,242,SVL,Amphisbaenidae,-8.647,4.007,0.9,8,yes,Anops kingii,
Amphisbaena_steindachneri,yes,Squamata,Amphisbaenia,Amphisbaenidae,243,SVL,Amphisbaenidae,-8.647,4.007,0.91,8.2,no,NA,
Agamodon_anguliceps,yes,Squamata,Amphisbaenia,Trogonophiidae,200,SVL,Amphisbaenia,-5.858,2.943,0.91,8.2,no,NA,
Blanus_alexandri,yes,Squamata,Amphisbaenia,Blanidae,200,SVL,Amphisbaenia,-5.858,2.943,0.91,8.2,no,NA,
Amphisbaena_ibijara,yes,Squamata,Amphisbaenia,Amphisbaenidae,244.1,SVL,Amphisbaenidae,-8.647,4.007,0.92,8.3,no,NA,
Amphisbaena_xera,yes,Squamata,Amphisbaenia,Amphisbaenidae,245,SVL,Amphisbaenidae,-8.647,4.007,0.93,8.4,yes,Amphisbaena xera,
Ancylocranium_barkeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,245,SVL,Amphisbaenidae,-8.647,4.007,0.93,8.4,no,NA,
Zygaspis_quadrifrons,yes,Squamata,Amphisbaenia,Amphisbaenidae,245,SVL,Amphisbaenidae,-8.647,4.007,0.93,8.4,no,NA,
Zygaspis_ferox,yes,Squamata,Amphisbaenia,Amphisbaenidae,247,SVL,Amphisbaenidae,-8.647,4.007,0.94,8.7,no,NA,
Geocalamus_acutus,yes,Squamata,Amphisbaenia,Amphisbaenidae,248,SVL,Amphisbaenidae,-8.647,4.007,0.95,8.9,yes,Geocalamus acutus,
Amphisbaena_townsendi,yes,Squamata,Amphisbaenia,Amphisbaenidae,252,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.4,no,NA,
Mesobaena_huebneri,yes,Squamata,Amphisbaenia,Amphisbaenidae,252,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.4,no,NA,
Blanus_mettetali,yes,Squamata,Amphisbaenia,Blanidae,210,SVL,Amphisbaenia,-5.858,2.943,0.98,9.5,yes,Blanus mettetali,
Amphisbaena_ridleyi,yes,Squamata,Amphisbaenia,Amphisbaenidae,253,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.6,no,NA,
Mesobaena_rhachicephala,yes,Squamata,Amphisbaenia,Amphisbaenidae,253,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.6,no,NA,
Blanus_strauchi,yes,Squamata,Amphisbaenia,Blanidae,212,SVL,Amphisbaenia,-5.858,2.943,0.99,9.7,yes,Blanus strauchi,
Amphisbaena_leali,yes,Squamata,Amphisbaenia,Amphisbaenidae,254,SVL,Amphisbaenidae,-8.647,4.007,0.99,9.8,yes,Amphisbaena leali,
Cynisca_leucura,yes,Squamata,Amphisbaenia,Amphisbaenidae,258,SVL,Amphisbaenidae,-8.647,4.007,1.02,10.4,yes,Cynisca leucura,
Amphisbaena_bakeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,260,SVL,Amphisbaenidae,-8.647,4.007,1.03,10.7,yes,Amphisbaena bakeri,
Dalophia_luluae,yes,Squamata,Amphisbaenia,Amphisbaenidae,260,SVL,Amphisbaenidae,-8.647,4.007,1.03,10.7,no,NA,
Amphisbaena_occidentalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,262,SVL,Amphisbaenidae,-8.647,4.007,1.04,11,no,NA,
Amphisbaena_stejnegeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,265,SVL,Amphisbaenidae,-8.647,4.007,1.06,11.6,no,NA,
Amphisbaena_innocens,yes,Squamata,Amphisbaenia,Amphisbaenidae,268,SVL,Amphisbaenidae,-8.647,4.007,1.08,12.1,yes,Amphisbaena innocens,
Amphisbaena_roberti,yes,Squamata,Amphisbaenia,Amphisbaenidae,268,SVL,Amphisbaenidae,-8.647,4.007,1.08,12.1,yes,Cercolophia roberti,
Amphisbaena_carli,yes,Squamata,Amphisbaenia,Amphisbaenidae,269,SVL,Amphisbaenidae,-8.647,4.007,1.09,12.3,no,NA,
Amphisbaena_caudalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,269,SVL,Amphisbaenidae,-8.647,4.007,1.09,12.3,no,NA,
Amphisbaena_anomala,yes,Squamata,Amphisbaenia,Amphisbaenidae,273,SVL,Amphisbaenidae,-8.647,4.007,1.11,13,yes,Aulura anomala,
Blanus_tingitanus,yes,Squamata,Amphisbaenia,Blanidae,235,SVL,Amphisbaenia,-5.858,2.943,1.12,13.2,yes,Blanus tingitanus,
Monopeltis_zambezensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,275,SVL,Amphisbaenidae,-8.647,4.007,1.13,13.4,no,NA,
Amphisbaena_dubia,yes,Squamata,Amphisbaenia,Amphisbaenidae,276,SVL,Amphisbaenidae,-8.647,4.007,1.13,13.6,no,NA,
Amphisbaena_littoralis,yes,Squamata,Amphisbaenia,Amphisbaenidae,278,SVL,Amphisbaenidae,-8.647,4.007,1.15,14,no,NA,
Bipes_biporus,yes,Squamata,Amphisbaenia,Bipedidae,240,SVL,Amphisbaenia,-5.858,2.943,1.15,14,yes,Bipes biporus,
Bipes_canaliculatus,yes,Squamata,Amphisbaenia,Bipedidae,240,SVL,Amphisbaenia,-5.858,2.943,1.15,14,yes,Bipes canaliculatus,
Trogonophis_wiegmanni,yes,Squamata,Amphisbaenia,Trogonophiidae,240,SVL,Amphisbaenia,-5.858,2.943,1.15,14,yes,Trogonophis wiegmanni,
Amphisbaena_heterozonata,yes,Squamata,Amphisbaenia,Amphisbaenidae,280,SVL,Amphisbaenidae,-8.647,4.007,1.16,14.4,no,NA,
Zygaspis_nigra,yes,Squamata,Amphisbaenia,Amphisbaenidae,280,SVL,Amphisbaenidae,-8.647,4.007,1.16,14.4,no,NA,
Amphisbaena_plumbea,yes,Squamata,Amphisbaenia,Amphisbaenidae,283,SVL,Amphisbaenidae,-8.647,4.007,1.18,15,no,NA,
Amphisbaena_frontalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,284,SVL,Amphisbaenidae,-8.647,4.007,1.18,15.3,no,NA,
Amphisbaena_arda,yes,Squamata,Amphisbaenia,Amphisbaenidae,285,SVL,Amphisbaenidae,-8.647,4.007,1.19,15.5,no,NA,
Blanus_aporus,yes,Squamata,Amphisbaenia,Blanidae,252,SVL,Amphisbaenia,-5.858,2.943,1.21,16.2,no,NA,
Blanus_mariae,yes,Squamata,Amphisbaenia,Blanidae,253,SVL,Amphisbaenia,-5.858,2.943,1.21,16.4,no,NA,
Blanus_cinereus,yes,Squamata,Amphisbaenia,Blanidae,254,SVL,Amphisbaenia,-5.858,2.943,1.22,16.6,yes,Blanus cinereus,
Amphisbaena_bedai,yes,Squamata,Amphisbaenia,Amphisbaenidae,290,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA,
Cynisca_chirioi,yes,Squamata,Amphisbaenia,Amphisbaenidae,290,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA,
Monopeltis_decosteri,yes,Squamata,Amphisbaenia,Amphisbaenidae,290,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA,
Monopeltis_leonhardi,yes,Squamata,Amphisbaenia,Amphisbaenidae,290,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA,
Monopeltis_rhodesiana,yes,Squamata,Amphisbaenia,Amphisbaenidae,290,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA,
Monopeltis_scalper,yes,Squamata,Amphisbaenia,Amphisbaenidae,290,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA,
Amphisbaena_caeca,yes,Squamata,Amphisbaenia,Amphisbaenidae,291,SVL,Amphisbaenidae,-8.647,4.007,1.23,16.8,yes,Amphisbaena caeca,
Monopeltis_welwitschii,yes,Squamata,Amphisbaenia,Amphisbaenidae,293,SVL,Amphisbaenidae,-8.647,4.007,1.24,17.3,no,NA,
Monopeltis_perplexus,yes,Squamata,Amphisbaenia,Amphisbaenidae,300,SVL,Amphisbaenidae,-8.647,4.007,1.28,19,no,NA,
Amphisbaena_kraoh,yes,Squamata,Amphisbaenia,Amphisbaenidae,305,SVL,Amphisbaenidae,-8.647,4.007,1.31,20.3,yes,Bronia kraoh,
Amphisbaena_bilabialatus,yes,Squamata,Amphisbaenia,Amphisbaenidae,307,SVL,Amphisbaenidae,-8.647,4.007,1.32,20.8,no,NA,
Amphisbaena_gonavensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,310,SVL,Amphisbaenidae,-8.647,4.007,1.34,21.7,no,NA,
Amphisbaena_hyporissor,yes,Squamata,Amphisbaenia,Amphisbaenidae,310,SVL,Amphisbaenidae,-8.647,4.007,1.34,21.7,yes,Amphisbaena hyporissor,
Amphisbaena_cuiabana,yes,Squamata,Amphisbaenia,Amphisbaenidae,316,SVL,Amphisbaenidae,-8.647,4.007,1.37,23.4,yes,Cercolophia cuiabana,
Amphisbaena_brasiliana,yes,Squamata,Amphisbaenia,Amphisbaenidae,317,SVL,Amphisbaenidae,-8.647,4.007,1.37,23.7,yes,Bronia brasiliana,
Amphisbaena_spurelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,320,SVL,Amphisbaenidae,-8.647,4.007,1.39,24.6,no,NA,
Amphisbaena_vermicularis,yes,Squamata,Amphisbaenia,Amphisbaenidae,325,SVL,Amphisbaenidae,-8.647,4.007,1.42,26.2,yes,Amphisbaena vermicularis,
Ancylocranium_ionidesi,yes,Squamata,Amphisbaenia,Amphisbaenidae,328,SVL,Amphisbaenidae,-8.647,4.007,1.43,27.2,no,NA,
Amphisbaena_octostegum,yes,Squamata,Amphisbaenia,Amphisbaenidae,336,SVL,Amphisbaenidae,-8.647,4.007,1.48,29.9,no,NA,
Monopeltis_capensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,340,SVL,Amphisbaenidae,-8.647,4.007,1.5,31.4,yes,Monopeltis capensis,
Monopeltis_infuscata,yes,Squamata,Amphisbaenia,Amphisbaenidae,340,SVL,Amphisbaenidae,-8.647,4.007,1.5,31.4,no,NA,
Amphisbaena_amazonica,yes,Squamata,Amphisbaenia,Amphisbaenidae,342,SVL,Amphisbaenidae,-8.647,4.007,1.51,32.1,no,NA,
Amphisbaena_angustifrons,yes,Squamata,Amphisbaenia,Amphisbaenidae,345,SVL,Amphisbaenidae,-8.647,4.007,1.52,33.3,yes,Amphisbaena angustifrons,
Monopeltis_anchietae,yes,Squamata,Amphisbaenia,Amphisbaenidae,345,SVL,Amphisbaenidae,-8.647,4.007,1.52,33.3,no,NA,
Amphisbaena_leucocephala,yes,Squamata,Amphisbaenia,Amphisbaenidae,350,SVL,Amphisbaenidae,-8.647,4.007,1.55,35.2,no,NA,
Amphisbaena_trachura,yes,Squamata,Amphisbaenia,Amphisbaenidae,350,SVL,Amphisbaenidae,-8.647,4.007,1.55,35.2,no,NA,
Amphisbaena_kisteumacheri,yes,Squamata,Amphisbaenia,Amphisbaenidae,356,SVL,Amphisbaenidae,-8.647,4.007,1.58,37.7,no,NA,
Monopeltis_guentheri,yes,Squamata,Amphisbaenia,Amphisbaenidae,356,SVL,Amphisbaenidae,-8.647,4.007,1.58,37.7,no,NA,
Amphisbaena_darwini,yes,Squamata,Amphisbaenia,Amphisbaenidae,360,SVL,Amphisbaenidae,-8.647,4.007,1.6,39.5,yes,Amphisbaena darwini,
Amphisbaena_varia,yes,Squamata,Amphisbaenia,Amphisbaenidae,402,SVL,Amphisbaenidae,-8.647,4.007,1.6,39.5,no,NA,
Dalophia_angolensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,362,SVL,Amphisbaenidae,-8.647,4.007,1.61,40.3,no,NA,
Monopeltis_sphenorhynchus,yes,Squamata,Amphisbaenia,Amphisbaenidae,365,SVL,Amphisbaenidae,-8.647,4.007,1.62,41.7,no,NA,
Monopeltis_vanderysti,yes,Squamata,Amphisbaenia,Amphisbaenidae,365,SVL,Amphisbaenidae,-8.647,4.007,1.62,41.7,no,NA,
Amphisbaena_saxosa,yes,Squamata,Amphisbaenia,Amphisbaenidae,375,SVL,Amphisbaenidae,-8.647,4.007,1.67,46.5,yes,Bronia saxosa,
Amphisbaena_cerradensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,385,SVL,Amphisbaenidae,-8.647,4.007,1.71,51.6,no,NA,
Amphisbaena_wiedi,yes,Squamata,Amphisbaenia,Amphisbaenidae,385,SVL,Amphisbaenidae,-8.647,4.007,1.71,51.6,no,NA,
Monopeltis_luandae,yes,Squamata,Amphisbaenia,Amphisbaenidae,385,SVL,Amphisbaenidae,-8.647,4.007,1.71,51.6,no,NA,
Rhineura_floridana,yes,Squamata,Amphisbaenia,Rhineuridae,380,SVL,Amphisbaenia,-5.858,2.943,1.73,54.2,yes,Rhineura floridana,
Amphisbaena_mertensii,yes,Squamata,Amphisbaenia,Amphisbaenidae,410,SVL,Amphisbaenidae,-8.647,4.007,1.82,66.4,yes,Amphisbaena mertensii,
Dalophia_ellenbergeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,420,SVL,Amphisbaenidae,-8.647,4.007,1.86,73.2,no,NA,
Amphisbaena_wuchereri,yes,Squamata,Amphisbaenia,Amphisbaenidae,426.6,SVL,Amphisbaenidae,-8.647,4.007,1.89,77.9,no,NA,
Amphisbaena_maximus,yes,Squamata,Amphisbaenia,Amphisbaenidae,440,SVL,Amphisbaenidae,-8.647,4.007,1.95,88.2,no,NA,
Amphisbaena_bassleri,yes,Squamata,Amphisbaenia,Amphisbaenidae,450,SVL,Amphisbaenidae,-8.647,4.007,1.98,96.5,no,NA,
Amphisbaena_pretrei,yes,Squamata,Amphisbaenia,Amphisbaenidae,462,SVL,Amphisbaenidae,-8.647,4.007,2.03,107.2,no,NA,
Monopeltis_galeata,yes,Squamata,Amphisbaenia,Amphisbaenidae,466,SVL,Amphisbaenidae,-8.647,4.007,2.05,111,no,NA,
