"","Class","Order","Family","Genus","Scientific_name","Body_mass_g_1","Body_mass_g_2","Body_mass_g_3","Body_mass_g_4","Body_mass_g_mean","Body_mass_g_median","Body_mass_g_max","Body_mass_g_M_2","Body_mass_g_M_3","Body_mass_g_M_4","Body_mass_g_M_mean","Body_mass_g_M_median","Body_mass_g_M_max","Body_mass_g_F_2","Body_mass_g_F_3","Body_mass_g_F_4","Body_mass_g_F_mean","Body_mass_g_F_median","Body_mass_g_F_max"
"16994","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_albogularis",248.75,NA,NA,251.5,250.125,250.125,251.5,NA,NA,223,223,223,223,NA,NA,352.5,352.5,352.5,352.5
"16995","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_badius",NA,NA,NA,140,140,140,140,NA,NA,125,125,125,125,NA,NA,168.5,168.5,168.5,168.5
"16996","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_bicolor",287.54,251,NA,345,294.513333333333,287.54,345,NA,NA,212,212,212,212,313,NA,390,351.5,351.5,390
"16997","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_brachyurus",142,NA,NA,142,142,142,142,NA,NA,142,142,142,142,NA,NA,NA,NA,NA,NA
"16998","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_brevipes",NA,NA,NA,203.5,203.5,203.5,203.5,NA,NA,170,170,170,170,NA,NA,230.5,230.5,230.5,230.5
"16999","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_butleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17000","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_castanilius",NA,NA,159.25,159.375,159.3125,159.3125,159.375,NA,142.5,142.5,142.5,142.5,142.5,NA,176,176,176,176,176
"17001","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_chilensis",368,NA,NA,345,356.5,356.5,368,NA,NA,212,212,212,212,NA,NA,377,377,377,377
"17002","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_chionogaster",332.94,NA,NA,138.5,235.72,235.72,332.94,NA,NA,103,103,103,103,NA,NA,174,174,174,174
"17003","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_cirrocephalus",165.73,NA,180,180,175.243333333333,180,180,NA,129,127.25,128.125,128.125,129,NA,231,231,231,231,231
"17004","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_collaris",332.94,NA,NA,NA,332.94,332.94,332.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17005","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_cooperii",675,NA,121.5,452,416.166666666667,452,675,NA,103,338.5,220.75,220.75,338.5,NA,140,529,334.5,334.5,529
"17006","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_erythrauchen",156,NA,NA,156,156,156,156,NA,NA,156,156,156,156,NA,NA,NA,NA,NA,NA
"17007","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_erythronemius",125,NA,NA,138.5,131.75,131.75,138.5,NA,NA,103,103,103,103,NA,NA,174,174,174,174
"17008","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_erythropus",111.2,NA,NA,107,109.1,109.1,111.2,NA,NA,84.7,84.7,84.7,84.7,NA,NA,146,146,146,146
"17009","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_fasciatus",358.66,NA,439.5,453.5,417.22,439.5,453.5,NA,330,303.25,316.625,316.625,330,NA,549,499.375,524.1875,524.1875,549
"17010","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_francesiae",NA,NA,NA,135.25,135.25,135.25,135.25,NA,NA,119.5,119.5,119.5,119.5,NA,NA,154.25,154.25,154.25,154.25
"17011","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_gentilis",NA,NA,926,988.75,957.375,957.375,988.75,NA,712,734,723,723,734,NA,1140,1117.333334,1128.666667,1128.666667,1140
"17012","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_griseiceps",NA,NA,NA,255.5,255.5,255.5,255.5,NA,NA,212,212,212,212,NA,NA,299,299,299,299
"17013","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_gularis",120.66,NA,NA,118.75,119.705,119.705,120.66,NA,NA,103.5,103.5,103.5,103.5,NA,NA,140.75,140.75,140.75,140.75
"17014","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_gundlachi",NA,NA,NA,675,675,675,675,NA,NA,NA,NA,NA,NA,NA,NA,675,675,675,675
"17015","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_haplochrous",198.41,NA,NA,240.5,219.455,219.455,240.5,NA,NA,157,157,157,157,NA,NA,254,254,254,254
"17016","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_henicogrammus",332.94,NA,NA,NA,332.94,332.94,332.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17017","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_henstii",763.54,NA,NA,1050,906.77,906.77,1050,NA,NA,NA,NA,NA,NA,NA,NA,1050,1050,1050,1050
"17018","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_imitator",222.49,NA,NA,237.75,230.12,230.12,237.75,NA,NA,208,208,208,208,NA,NA,238,238,238,238
"17019","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_luteoschistaceus",214,NA,NA,213.75,213.875,213.875,214,NA,NA,213.75,213.75,213.75,213.75,NA,NA,NA,NA,NA,NA
"17020","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_madagascariensis",180.41,NA,NA,182,181.205,181.205,182,NA,NA,156,156,156,156,NA,NA,209.5,209.5,209.5,209.5
"17021","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_melanochlamys",265,NA,NA,269,267,267,269,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294
"17022","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_melanoleucus",698.99,NA,707.5,701.8833333,702.7911111,701.8833333,707.5,NA,550,550,550,550,550,NA,865,865,865,865,865
"17023","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_meyerianus",NA,NA,NA,815,815,815,815,NA,NA,530,530,530,530,NA,NA,1100,1100,1100,1100
"17024","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_minullus",87.43,NA,80.9,84.05,84.1266666666667,84.05,87.43,NA,80.9,80.9,80.9,80.9,80.9,NA,NA,97.25,97.25,97.25,97.25
"17025","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_nanus",332.94,NA,NA,NA,332.94,332.94,332.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17026","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_nisus",220.79,NA,220,212,217.596666666667,220,220.79,NA,150,147,148.5,148.5,150,NA,290,290,290,290,290
"17027","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_novaehollandiae",326.06,NA,538,479.5833333,447.8811111,479.5833333,538,NA,356,312,334,334,356,NA,720,716,718,718,720
"17028","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_ovampensis",195,NA,200,199.1666667,198.055555566667,199.1666667,200,NA,140,140,140,140,140,NA,260,260,260,260,260
"17029","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_poliocephalus",214.76,NA,NA,225,219.88,219.88,225,NA,NA,205,205,205,205,NA,NA,253,253,253,253
"17030","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_poliogaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17031","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_princeps",332.94,NA,NA,NA,332.94,332.94,332.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17032","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_rhodogaster",172.71,NA,NA,188.5,180.605,180.605,188.5,NA,NA,113,113,113,113,NA,NA,264,264,264,264
"17033","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_rufitorques",209,NA,NA,209,209,209,209,NA,NA,209,209,209,209,NA,NA,NA,NA,NA,NA
"17034","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_rufiventris",198,NA,NA,198,198,198,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17035","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_soloensis",NA,NA,NA,161,161,161,161,NA,NA,149.5,149.5,149.5,149.5,NA,NA,192.5,192.5,192.5,192.5
"17036","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_striatus",130.59,94,138.5,138.5,125.3975,134.545,138.5,94,103,103,100,103,103,NA,174,174,174,174,174
"17037","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_superciliosus",99.51,103,NA,73.9,92.1366666666667,99.51,103,82,NA,73.875,77.9375,77.9375,82,145,NA,134,139.5,139.5,145
"17038","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_tachiro",NA,NA,300,298.5,299.25,299.25,300,NA,230,203.5,216.75,216.75,230,NA,370,340.5,355.25,355.25,370
"17039","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_toussenelii",NA,NA,NA,298.5,298.5,298.5,298.5,NA,NA,203.5,203.5,203.5,203.5,NA,NA,340.5,340.5,340.5,340.5
"17040","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_trinotatus",146,NA,NA,146.25,146.125,146.125,146.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17041","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_trivirgatus",NA,NA,NA,276,276,276,276,NA,NA,199,199,199,199,NA,NA,353,353,353,353
"17042","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_ventralis",233,NA,NA,138.5,185.75,185.75,233,NA,NA,103,103,103,103,NA,NA,174,174,174,174
"17043","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_virgatus",116.99,NA,NA,113.5,115.245,115.245,116.99,NA,NA,101.825,101.825,101.825,101.825,NA,NA,141.5,141.5,141.5,141.5
"17044","Aves","Accipitriformes","Accipitridae","Aegypius","Aegypius_monachus",9320.55,NA,9625,9625,9523.51666666667,9625,9625,NA,9250,9250,9250,9250,9250,NA,10000,10000,10000,10000,10000
"17045","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_adalberti",NA,NA,NA,3262,3262,3262,3262,NA,NA,2624,2624,2624,2624,NA,NA,3873,3873,3873,3873
"17046","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_africanus",829.99,NA,NA,NA,829.99,829.99,829.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17047","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_audax",3449.86,NA,3470,3466,3461.95333333333,3466,3470,NA,3130,3041.5,3085.75,3085.75,3130,NA,3810,3855,3832.5,3832.5,3855
"17048","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_chrysaetos",4247.97,NA,4383,4383,4337.99,4383,4383,NA,3572,3708.25,3640.125,3640.125,3708.25,NA,5194,4692.25,4943.125,4943.125,5194
"17049","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_clanga",NA,NA,1916.8,NA,1916.8,1916.8,1916.8,NA,1725.6,NA,1725.6,1725.6,1725.6,NA,2108,NA,2108,2108,2108
"17050","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_fasciatus",806.06,NA,NA,NA,806.06,806.06,806.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17051","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_gurneyi",NA,NA,NA,3060,3060,3060,3060,NA,NA,NA,NA,NA,NA,NA,NA,3060,3060,3060,3060
"17052","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_hastata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17053","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_heliaca",NA,NA,3262,3262,3262,3262,3262,NA,2623,2949,2786,2786,2949,NA,3901,3845,3873,3873,3901
"17054","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_nipalensis",NA,NA,2723,2534.5,2628.75,2628.75,2723,NA,2459,2333,2396,2396,2459,NA,2987,2987,2987,2987,2987
"17055","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_pomarina",NA,NA,1475.4,NA,1475.4,1475.4,1475.4,NA,1257.5,NA,1257.5,1257.5,1257.5,NA,1693.3,NA,1693.3,1693.3,1693.3
"17056","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_rapax",NA,NA,1996.1,2347,2171.55,2171.55,2347,NA,1837.2,2034.6,1935.9,1935.9,2034.6,NA,2155,2405.5,2280.25,2280.25,2405.5
"17057","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_verreauxii",639.99,NA,4186,4195,3006.99666666667,4186,4195,NA,3730,3665,3697.5,3697.5,3730,NA,4642,4355.5,4498.75,4498.75,4642
"17058","Aves","Accipitriformes","Accipitridae","Aquila","Aquila_wahlbergi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17059","Aves","Accipitriformes","Accipitridae","Aviceda","Aviceda_cuculoides",NA,NA,NA,275.75,275.75,275.75,275.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17060","Aves","Accipitriformes","Accipitridae","Aviceda","Aviceda_jerdoni",NA,NA,NA,363,363,363,363,NA,NA,363,363,363,363,NA,NA,NA,NA,NA,NA
"17061","Aves","Accipitriformes","Accipitridae","Aviceda","Aviceda_leuphotes",193.98,NA,NA,196,194.99,194.99,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17062","Aves","Accipitriformes","Accipitridae","Aviceda","Aviceda_madagascariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17063","Aves","Accipitriformes","Accipitridae","Aviceda","Aviceda_subcristata",322.65,NA,327,328,325.883333333333,327,328,NA,307,308.75,307.875,307.875,308.75,NA,347,346.875,346.9375,346.9375,347
"17064","Aves","Accipitriformes","Accipitridae","Busarellus","Busarellus_nigricollis",766.14,932,NA,614,770.713333333333,766.14,932,780,NA,613.5,696.75,696.75,780,1025,NA,956,990.5,990.5,1025
"17065","Aves","Accipitriformes","Accipitridae","Butastur","Butastur_indicus",NA,NA,NA,402,402,402,402,NA,NA,400.5,400.5,400.5,400.5,NA,NA,433,433,433,433
"17066","Aves","Accipitriformes","Accipitridae","Butastur","Butastur_liventer",NA,NA,NA,338,338,338,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17067","Aves","Accipitriformes","Accipitridae","Butastur","Butastur_rufipennis",NA,NA,335,335,335,335,335,NA,326,326,326,326,326,NA,344,344,344,344,344
"17068","Aves","Accipitriformes","Accipitridae","Butastur","Butastur_teesa",NA,NA,NA,325,325,325,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17069","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_albicaudatus",885,NA,NA,NA,885,885,885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17070","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_albigula",NA,NA,NA,495,495,495,495,NA,NA,432.5,432.5,432.5,432.5,NA,NA,583,583,583,583
"17071","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_albonotatus",745.92,500,NA,757,667.64,745.92,757,NA,NA,628,628,628,628,500,NA,886,693,693,886
"17072","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_archeri",3059.99,NA,NA,1062.333333,2061.1616665,2061.1616665,3059.99,NA,NA,988,988,988,988,NA,NA,1330,1330,1330,1330
"17073","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_augur",1099.18,NA,670,1060.666667,943.282222333333,1060.666667,1099.18,NA,580,988,784,784,988,NA,760,1165,962.5,962.5,1165
"17074","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_auguralis",663.92,NA,NA,670,666.96,666.96,670,NA,NA,580,580,580,580,NA,NA,760,760,760,760
"17075","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_brachypterus",511,NA,NA,511,511,511,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17076","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_brachyurus",NA,NA,NA,495,495,495,495,NA,NA,432.5,432.5,432.5,432.5,NA,NA,583,583,583,583
"17077","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_buteo",759.1,NA,878.25,878.25,838.533333333333,878.25,878.25,NA,790,781,785.5,785.5,790,NA,966.5,945.75,956.125,956.125,966.5
"17078","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_galapagoensis",1137.44,NA,NA,1163.333333,1150.3866665,1150.3866665,1163.333333,NA,NA,961.3333333,961.3333333,961.3333333,961.3333333,NA,NA,1365.333333,1365.333333,1365.333333,1365.333333
"17079","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_hemilasius",1358.89,NA,NA,1342.5,1350.695,1350.695,1358.89,NA,NA,1175,1175,1175,1175,NA,NA,1562.5,1562.5,1562.5,1562.5
"17080","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_jamaicensis",1101.16,NA,1126,1126,1117.72,1126,1126,NA,1028,1028,1028,1028,1028,NA,1224,1224,1224,1224,1224
"17081","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_lagopus",949.76,NA,925.8,945.5,940.353333333333,945.5,949.76,NA,824.6,847,835.8,835.8,847,NA,1027,1051.5,1039.25,1039.25,1051.5
"17082","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_leucorrhous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17083","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_lineatus",603.72,NA,625.5,616,615.073333333333,616,625.5,NA,550,539,544.5,544.5,550,NA,701,676.75,688.875,688.875,701
"17084","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_magnirostris",269,NA,325.35,NA,297.175,297.175,325.35,NA,290,NA,290,290,290,NA,360.7,NA,360.7,360.7,360.7
"17085","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_nitidus",519.04,458,NA,510.5833333,495.874444433333,510.5833333,519.04,412,NA,429.75,420.875,420.875,429.75,468,NA,624,546,546,624
"17086","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_oreophilus",699.99,NA,NA,700,699.995,699.995,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17087","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_platypterus",NA,328,398.5,437,387.833333333333,398.5,437,286,357,420,354.333333333333,357,420,336,440,490,422,440,490
"17088","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_polyosoma",782.61,NA,NA,NA,782.61,782.61,782.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17089","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_regalis",1437.18,NA,1469.5,1469.5,1458.72666666667,1469.5,1469.5,NA,1163,1162.5,1162.75,1162.75,1163,NA,1776,1775,1775.5,1775.5,1776
"17090","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_ridgwayi",946.61,NA,NA,NA,946.61,946.61,946.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17091","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_rufinus",1166.18,NA,1174.5,1174.5,1171.72666666667,1174.5,1174.5,NA,1035,1035,1035,1035,1035,NA,1314,1314,1314,1314,1314
"17092","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_rufofuscus",NA,NA,NA,1062.333333,1062.333333,1062.333333,1062.333333,NA,NA,988,988,988,988,NA,NA,1330,1330,1330,1330
"17093","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_solitarius",500.88,NA,NA,505,502.94,502.94,505,NA,NA,414,414,414,414,NA,NA,606,606,606,606
"17094","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_swainsoni",NA,811,958.5,969.57,913.023333333333,958.5,969.57,811,808,811.25,810.083333333333,811,811.25,NA,1109,1109,1109,1109,1109
"17095","Aves","Accipitriformes","Accipitridae","Buteo","Buteo_ventralis",1190.52,NA,NA,1210,1200.26,1200.26,1210,NA,NA,1103,1103,1103,1103,NA,NA,1285,1285,1285,1285
"17096","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus_aequinoctialis",NA,NA,695.5,693.25,694.375,694.375,695.5,NA,595,594.5,594.75,594.75,595,NA,796,752.5,774.25,774.25,796
"17097","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus_anthracinus",NA,838,996,996,943.333333333333,996,996,771,793,793,785.666666666667,793,793,971,1199,1199,1123,1199,1199
"17098","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus_gundlachii",NA,NA,NA,945,945,945,945,NA,NA,793,793,793,793,NA,NA,1199,1199,1199,1199
"17099","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus_meridionalis",NA,722,804.9,808,778.3,804.9,808,699,764,849,770.666666666667,764,849,758,845.8,893.4,832.4,845.8,893.4
"17100","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus_urubitinga",NA,1042,NA,1230,1136,1136,1230,1105,NA,1065,1085,1085,1105,1070,NA,1248,1159,1159,1248
"17101","Aves","Accipitriformes","Accipitridae","Chelictinia","Chelictinia_riocourii",110,NA,NA,110,110,110,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17102","Aves","Accipitriformes","Accipitridae","Chondrohierax","Chondrohierax_uncinatus",286.07,650,267.5,288.75,373.08,287.41,650,NA,260.5,264,262.25,262.25,264,650,274.5,310,411.5,310,650
"17103","Aves","Accipitriformes","Accipitridae","Chondrohierax","Chondrohierax_wilsonii",NA,NA,NA,288.75,288.75,288.75,288.75,NA,NA,264,264,264,264,NA,NA,310,310,310,310
"17104","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus_beaudouini",942.48,NA,NA,1717.25,1329.865,1329.865,1717.25,NA,NA,1664,1664,1664,1664,NA,NA,1774.5,1774.5,1774.5,1774.5
"17105","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus_cinerascens",1115,NA,NA,NA,1115,1115,1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17106","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus_cinereus",2048,NA,NA,2048,2048,2048,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17107","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus_fasciolatus",1013.6,NA,NA,1021.5,1017.55,1017.55,1021.5,NA,NA,938.5,938.5,938.5,938.5,NA,NA,1100,1100,1100,1100
"17108","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus_gallicus",1699.12,NA,1699.5,1717.25,1705.29,1699.5,1717.25,NA,1664,1664,1664,1664,1664,NA,1735,1774.5,1754.75,1754.75,1774.5
"17109","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus_pectoralis",1500,NA,NA,1717.25,1608.625,1608.625,1717.25,NA,NA,1664,1664,1664,1664,NA,NA,1774.5,1774.5,1774.5,1774.5
"17110","Aves","Accipitriformes","Accipitridae","Circus","Circus_aeruginosus",704.07,NA,584.5,607,631.856666666667,607,704.07,NA,500,552.5,526.25,526.25,552.5,NA,669,741.5,705.25,705.25,741.5
"17111","Aves","Accipitriformes","Accipitridae","Circus","Circus_approximans",746.19,NA,755,752.5,751.23,752.5,755,NA,640,640,640,640,640,NA,870,870,870,870,870
"17112","Aves","Accipitriformes","Accipitridae","Circus","Circus_assimilis",558.58,NA,568,521.25,549.276666666667,558.58,568,NA,465,465,465,465,465,NA,671,654.25,662.625,662.625,671
"17113","Aves","Accipitriformes","Accipitridae","Circus","Circus_buffoni",507.4,380,NA,519.5,468.966666666667,507.4,519.5,378,NA,423.5,400.75,400.75,423.5,NA,NA,612.5,612.5,612.5,612.5
"17114","Aves","Accipitriformes","Accipitridae","Circus","Circus_cinereus",399.67,NA,NA,468.5,434.085,434.085,468.5,NA,NA,337,337,337,337,NA,NA,471.25,471.25,471.25,471.25
"17115","Aves","Accipitriformes","Accipitridae","Circus","Circus_cyaneus",392.98,NA,436.5,436.5,421.993333333333,436.5,436.5,NA,346,346,346,346,346,NA,527,522.5,524.75,524.75,527
"17116","Aves","Accipitriformes","Accipitridae","Circus","Circus_macrosceles",NA,NA,NA,655.75,655.75,655.75,655.75,NA,NA,600,600,600,600,NA,NA,711.5,711.5,711.5,711.5
"17117","Aves","Accipitriformes","Accipitridae","Circus","Circus_macrourus",384.36,NA,383.5,383.5,383.786666666667,383.5,384.36,NA,322,327,324.5,324.5,327,NA,445,445,445,445,445
"17118","Aves","Accipitriformes","Accipitridae","Circus","Circus_maillardi",663.6,NA,NA,655.75,659.675,659.675,663.6,NA,NA,600,600,600,600,NA,NA,711.5,711.5,711.5,711.5
"17119","Aves","Accipitriformes","Accipitridae","Circus","Circus_maurus",508.99,NA,NA,532,520.495,520.495,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17120","Aves","Accipitriformes","Accipitridae","Circus","Circus_melanoleucos",336.3,NA,NA,375,355.65,355.65,375,NA,NA,292.5,292.5,292.5,292.5,NA,NA,422.5,422.5,422.5,422.5
"17121","Aves","Accipitriformes","Accipitridae","Circus","Circus_pygargus",136.82,NA,305,315.5,252.44,305,315.5,NA,265,264,264.5,264.5,265,NA,345,376,360.5,360.5,376
"17122","Aves","Accipitriformes","Accipitridae","Circus","Circus_ranivorus",507,NA,423,494.5,474.833333333333,494.5,507,NA,423,423,423,423,423,NA,NA,NA,NA,NA,NA
"17123","Aves","Accipitriformes","Accipitridae","Circus","Circus_spilonotus",558.78,NA,NA,562.25,560.515,560.515,562.25,NA,NA,502.25,502.25,502.25,502.25,NA,NA,622.25,622.25,622.25,622.25
"17124","Aves","Accipitriformes","Accipitridae","Dryotriorchis","Dryotriorchis_spectabilis",697,NA,NA,NA,697,697,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17125","Aves","Accipitriformes","Accipitridae","Elanoides","Elanoides_forficatus",416.24,NA,577,442.625,478.621666666667,442.625,577,NA,542,493.5,517.75,517.75,542,NA,612,536,574,574,612
"17126","Aves","Accipitriformes","Accipitridae","Elanus","Elanus_axillaris",270.1,NA,271,265.5,268.866666666667,270.1,271,NA,249,249,249,249,249,NA,293,293,293,293,293
"17127","Aves","Accipitriformes","Accipitridae","Elanus","Elanus_caeruleus",259.76,NA,247.75,248,251.836666666667,248,259.76,NA,237,237,237,237,237,NA,258.5,268,263.25,263.25,268
"17128","Aves","Accipitriformes","Accipitridae","Elanus","Elanus_leucurus",346,264,311.65,311.65,308.325,311.65,346,NA,294.8,274,284.4,284.4,294.8,NA,328.5,317.75,323.125,323.125,328.5
"17129","Aves","Accipitriformes","Accipitridae","Elanus","Elanus_scriptus",316,NA,315.8,315.8,315.866666666667,315.8,316,NA,288.6,288.6,288.6,288.6,288.6,NA,343,343,343,343,343
"17130","Aves","Accipitriformes","Accipitridae","Erythrotriorchis","Erythrotriorchis_buergersi",575,NA,NA,575,575,575,575,NA,NA,575,575,575,575,NA,NA,NA,NA,NA,NA
"17131","Aves","Accipitriformes","Accipitridae","Erythrotriorchis","Erythrotriorchis_radiatus",887.35,NA,NA,937.5,912.425,912.425,937.5,NA,NA,635,635,635,635,NA,NA,1240,1240,1240,1240
