id,Order,Family,Genus,Species,Fos,Ter,Aqu,Arb,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diu,Noc,Crepu,Wet_warm,Wet_cold,Dry_warm,Dry_cold,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS
Anf0001,Anura,Allophrynidae,Allophryne,Allophryne_ruthveni,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,31,NA,NA,31,NA,NA,NA,300,300,1,NA,NA,0,1,0,NA
Anf0002,Anura,Alytidae,Alytes,Alytes_cisternasii,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,6.1,2,2,50,27,36,6,60,180,4,2.6,3.5,0,1,0,NA
Anf0003,Anura,Alytidae,Alytes,Alytes_dickhilleni,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,55,NA,NA,NA,40,40,1,NA,NA,0,1,0,NA
Anf0004,Anura,Alytidae,Alytes,Alytes_maurus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,1,0,NA
Anf0005,Anura,Alytidae,Alytes,Alytes_muletensis,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,2.31,3,3,40,NA,NA,NA,7,20,1,5.4,7,0,1,0,NA
Anf0006,Anura,Alytidae,Alytes,Alytes_obstetricans,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,13.4,2,3,55,35,40.5,7,53,171,4,2.6,5,0,1,0,NA
Anf0007,Anura,Alytidae,Discoglossus,Discoglossus_galganoi,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,21.8,3,5,80,NA,NA,9,300,1500,6,1.5,2,0,1,0,NA
Anf0008,Anura,Alytidae,Discoglossus,Discoglossus_jeanneae,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,1500,1500,1,NA,NA,0,1,0,NA
Anf0009,Anura,Alytidae,Discoglossus,Discoglossus_montalentii,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,1000,1000,1,1.5,1.5,0,1,0,NA
Anf0010,Anura,Alytidae,Discoglossus,Discoglossus_nigriventer,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Anf0011,Anura,Alytidae,Discoglossus,Discoglossus_pictus,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,22.05,4,4,80,NA,NA,NA,20,1500,1,1,1.5,0,1,0,NA
Anf0012,Anura,Alytidae,Discoglossus,Discoglossus_sardus,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,70,NA,NA,NA,1000,1000,1,1,1.5,0,1,0,NA
Anf0013,Anura,Alytidae,Discoglossus,Discoglossus_scovazzi,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,70,NA,NA,NA,1000,1000,1,NA,NA,0,1,0,NA
