species,Class,group,adult mass (g),log adult mass (g),hatchling / neonate mass (g),log hatchling / neonate mass (g),offspring/adult size ratio
Proablepharus_tenuis,Reptilia,Sauria,0.5,-0.287,0.1,-1.152,13.6%
Phrynocephalus_axillaris,Reptilia,Sauria,3.9,0.592,0.5,-0.272,13.7%
Lucasium_alboguttatum,Reptilia,Sauria,1.9,0.279,0.3,-0.585,13.7%
Teratoscincus_scincus,Reptilia,Sauria,11.2,1.047,1.5,0.184,13.7%
Cyrtopodion_kachhense,Reptilia,Sauria,1.4,0.152,0.2,-0.711,13.7%
Pseudogekko_brevipes,Reptilia,Sauria,1.4,0.151,0.2,-0.711,13.7%
Prasinohaema_virens,Reptilia,Sauria,2.2,0.333,0.3,-0.529,13.7%
Lygodactylus_tolampyae,Reptilia,Sauria,0.6,-0.225,0.1,-1.086,13.8%
Hemiphyllodactylus_ganoklonis,Reptilia,Sauria,0.9,-0.057,0.1,-0.917,13.8%
Xantusia_vigilis,Reptilia,Sauria,1.4,0.156,0.2,-0.704,13.8%
Iberolacerta_aurelioi,Reptilia,Sauria,3.9,0.595,0.5,-0.266,13.8%
Homonota_fasciata,Reptilia,Sauria,3.1,0.495,0.4,-0.365,13.8%
Calyptotis_scutirostrum,Reptilia,Sauria,2.0,0.304,0.3,-0.556,13.8%
Strophurus_michaelseni,Reptilia,Sauria,3.5,0.539,0.5,-0.320,13.8%
Rhampholeon_temporalis,Reptilia,Sauria,2.9,0.459,0.4,-0.399,13.9%
Trapelus_megalonyx,Reptilia,Sauria,10.1,1.004,1.4,0.146,13.9%
Uta_stejnegeri,Reptilia,Sauria,3.9,0.596,0.5,-0.261,13.9%
Hemidactylus_turcicus,Reptilia,Sauria,2.5,0.399,0.3,-0.456,14.0%
Bachia_blairi,Reptilia,Sauria,1.6,0.205,0.2,-0.650,14.0%
Bachia_pallidiceps,Reptilia,Sauria,1.6,0.205,0.2,-0.650,14.0%
Uma_cowlesi,Reptilia,Sauria,13.6,1.133,1.9,0.278,14.0%
Phyllodactylus_johnwrighti,Reptilia,Sauria,1.6,0.204,0.2,-0.650,14.0%
Xantusia_gilberti,Reptilia,Sauria,1.2,0.087,0.2,-0.766,14.0%
Mesalina_olivieri,Reptilia,Sauria,1.6,0.211,0.2,-0.641,14.1%
Xantusia_bolsonae,Reptilia,Sauria,2.9,0.467,0.4,-0.385,14.1%
Nephrurus_asper,Reptilia,Sauria,18.0,1.255,2.5,0.403,14.1%
Urosaurus_graciosus,Reptilia,Sauria,5.2,0.715,0.7,-0.136,14.1%
Acanthodactylus_schreiberi,Reptilia,Sauria,7.8,0.891,1.1,0.041,14.1%
Meroles_squamulosus,Reptilia,Sauria,4.2,0.623,0.6,-0.227,14.1%
Stenocercus_aculeatus,Reptilia,Sauria,17.0,1.230,2.4,0.380,14.1%
Acontias_kgalagadi,Reptilia,Sauria,4.8,0.681,0.7,-0.168,14.1%
Phoenicolacerta_kulzeri,Reptilia,Sauria,3.8,0.577,0.5,-0.272,14.1%
Coleodactylus_natalensis,Reptilia,Sauria,0.2,-0.616,0.0,-1.465,14.1%
Lerista_desertorum,Reptilia,Sauria,3.7,0.573,0.5,-0.275,14.2%
Loxopholis_guianense,Reptilia,Sauria,0.8,-0.108,0.1,-0.956,14.2%
Saltuarius_wyberba,Reptilia,Sauria,19.6,1.291,2.8,0.445,14.2%
Heliobolus_spekii,Reptilia,Sauria,2.1,0.321,0.3,-0.525,14.3%
Ameivula_nativo,Reptilia,Sauria,4.9,0.692,0.7,-0.153,14.3%
Microlophus_quadrivittatus,Reptilia,Sauria,22.2,1.346,3.2,0.501,14.3%
Liolaemus_torresi,Reptilia,Sauria,6.3,0.797,0.9,-0.046,14.3%
Gonatodes_vittatus,Reptilia,Sauria,0.7,-0.180,0.1,-1.023,14.4%
Lerista_cinerea,Reptilia,Sauria,2.1,0.321,0.3,-0.522,14.4%
Homonota_darwinii,Reptilia,Sauria,1.8,0.257,0.3,-0.584,14.4%
Sceloporus_pyrocephalus,Reptilia,Sauria,5.9,0.773,0.9,-0.067,14.5%
Sceloporus_ochoterenae,Reptilia,Sauria,3.8,0.577,0.5,-0.261,14.5%
Gonatodes_hasemani,Reptilia,Sauria,1.8,0.250,0.3,-0.589,14.5%
Stenocercus_ornatus,Reptilia,Sauria,9.3,0.970,1.4,0.132,14.5%
Lerista_kingi,Reptilia,Sauria,0.5,-0.267,0.1,-1.105,14.5%
Bipes_tridactylus,Reptilia,Sauria,2.2,0.339,0.3,-0.499,14.5%
Congolacerta_vauereselli,Reptilia,Sauria,4.5,0.653,0.7,-0.184,14.5%
Anomalopus_swansoni,Reptilia,Sauria,2.6,0.408,0.4,-0.427,14.6%
Leiolepis_peguensis,Reptilia,Sauria,92.9,1.968,13.6,1.134,14.7%
Mesalina_brevirostris,Reptilia,Sauria,2.2,0.336,0.3,-0.497,14.7%
Aspidoscelis_tesselatus,Reptilia,Sauria,13.1,1.117,1.9,0.285,14.7%
Sceloporus_jalapae,Reptilia,Sauria,4.2,0.621,0.6,-0.210,14.8%
Teratoscincus_roborowskii,Reptilia,Sauria,13.5,1.132,2.0,0.301,14.8%
Lerista_haroldi,Reptilia,Sauria,0.5,-0.275,0.1,-1.105,14.8%
Nephrurus_wheeleri,Reptilia,Sauria,14.2,1.153,2.1,0.325,14.8%
Microlophus_occipitalis,Reptilia,Sauria,6.6,0.819,1.0,-0.010,14.8%
Microlophus_stolzmanni,Reptilia,Sauria,9.1,0.960,1.4,0.132,14.9%
Microgecko_persicus,Reptilia,Sauria,0.7,-0.136,0.1,-0.963,14.9%
Cryptoblepharus_rutilus,Reptilia,Sauria,0.8,-0.100,0.1,-0.924,15.0%
Echinosaura_apodema,Reptilia,Sauria,3.0,0.474,0.4,-0.349,15.0%
Tarentola_deserti,Reptilia,Sauria,8.4,0.924,1.3,0.101,15.0%
Phelsuma_hoeschi,Reptilia,Sauria,0.9,-0.022,0.1,-0.845,15.1%
Phrynosoma_mcallii,Reptilia,Sauria,11.7,1.067,1.8,0.245,15.1%
Lerista_bipes,Reptilia,Sauria,1.1,0.047,0.2,-0.774,15.1%
Alsophylax_pipiens,Reptilia,Sauria,0.9,-0.024,0.1,-0.845,15.1%
Lygisaurus_laevis,Reptilia,Sauria,0.7,-0.184,0.1,-1.004,15.1%
Cryptoblepharus_eximius,Reptilia,Sauria,0.8,-0.104,0.1,-0.924,15.1%
Cnemaspis_podihuna,Reptilia,Sauria,0.3,-0.547,0.0,-1.367,15.1%
Underwoodisaurus_milii,Reptilia,Sauria,10.5,1.023,1.6,0.203,15.1%
Phelsuma_abbotti,Reptilia,Sauria,2.7,0.437,0.4,-0.382,15.2%
Acanthodactylus_dumerilii,Reptilia,Sauria,2.8,0.451,0.4,-0.367,15.2%
Sceloporus_cozumelae,Reptilia,Sauria,3.8,0.583,0.6,-0.235,15.2%
Podarcis_lilfordi,Reptilia,Sauria,4.9,0.690,0.7,-0.128,15.2%
Hemidactylus_muriceus,Reptilia,Sauria,3.0,0.478,0.5,-0.335,15.4%
Egernia_saxatilis,Reptilia,Sauria,26.0,1.415,4.0,0.602,15.4%
Anolis_conspersus,Reptilia,Sauria,1.5,0.188,0.2,-0.625,15.4%
Lerista_macropisthopus,Reptilia,Sauria,2.9,0.466,0.5,-0.347,15.4%
Sphenomorphus_forbesi,Reptilia,Sauria,1.1,0.022,0.2,-0.790,15.4%
Urosaurus_nigricaudus,Reptilia,Sauria,3.6,0.555,0.6,-0.256,15.4%
Brookesia_micra,Reptilia,Sauria,0.2,-0.630,0.0,-1.440,15.5%
Cercosaura_oshaughnessyi,Reptilia,Sauria,0.9,-0.063,0.1,-0.871,15.6%
Cyrtodactylus_louisiadensis,Reptilia,Sauria,35.7,1.552,5.6,0.745,15.6%
Cyrtopodion_scabrum,Reptilia,Sauria,2.1,0.325,0.3,-0.482,15.6%
Pachydactylus_visseri,Reptilia,Sauria,1.5,0.162,0.2,-0.644,15.6%
Oreosaurus_rhodogaster,Reptilia,Sauria,2.0,0.300,0.3,-0.506,15.6%
Liolaemus_riojanus,Reptilia,Sauria,4.1,0.608,0.6,-0.196,15.7%
Ophiomorus_punctatissimus,Reptilia,Sauria,1.7,0.231,0.3,-0.573,15.7%
Crossobamon_eversmanni,Reptilia,Sauria,2.2,0.347,0.3,-0.456,15.7%
Phelsuma_robertmertensi,Reptilia,Sauria,1.5,0.181,0.2,-0.620,15.8%
Stenocercus_ochoai,Reptilia,Sauria,13.1,1.116,2.1,0.314,15.8%
Sphaerodactylus_pimienta,Reptilia,Sauria,0.9,-0.029,0.1,-0.830,15.8%
Teratoscincus_bedriagai,Reptilia,Sauria,7.8,0.890,1.2,0.089,15.8%
Bachia_flavescens,Reptilia,Sauria,2.1,0.313,0.3,-0.488,15.8%
Scelotes_mirus,Reptilia,Sauria,7.6,0.882,1.2,0.083,15.9%
Bunopus_blanfordii,Reptilia,Sauria,1.6,0.207,0.3,-0.591,15.9%
Isopachys_gyldenstolpei,Reptilia,Sauria,8.9,0.949,1.4,0.151,15.9%
Mesalina_rubropunctata,Reptilia,Sauria,2.7,0.430,0.4,-0.367,15.9%
Psychosaura_agmosticha,Reptilia,Sauria,4.8,0.683,0.8,-0.114,16.0%
Altiphylax_tokobajevi,Reptilia,Sauria,1.6,0.205,0.3,-0.591,16.0%
Urosaurus_bicarinatus,Reptilia,Sauria,3.6,0.560,0.6,-0.235,16.0%
Eremias_intermedia,Reptilia,Sauria,3.3,0.521,0.5,-0.272,16.1%
Anolis_meridionalis,Reptilia,Sauria,2.3,0.370,0.4,-0.421,16.2%
Parvoscincus_beyeri,Reptilia,Sauria,3.1,0.495,0.5,-0.296,16.2%
Nephrurus_levis,Reptilia,Sauria,9.9,0.994,1.6,0.203,16.2%
Eremiascincus_antoniorum,Reptilia,Sauria,3.7,0.569,0.6,-0.222,16.2%
Cyrtodactylus_wakeorum,Reptilia,Sauria,5.5,0.741,0.9,-0.049,16.2%
Teratoscincus_microlepis,Reptilia,Sauria,9.1,0.957,1.5,0.167,16.2%
Phrynocephalus_strauchi,Reptilia,Sauria,2.6,0.417,0.4,-0.373,16.2%
Sceloporus_heterolepis,Reptilia,Sauria,6.4,0.808,1.0,0.019,16.3%
Cnemaspis_assamensis,Reptilia,Sauria,0.9,-0.042,0.1,-0.831,16.3%
Diporiphora_paraconvergens,Reptilia,Sauria,5.7,0.754,0.9,-0.034,16.3%
Holodactylus_africanus,Reptilia,Sauria,7.4,0.870,1.2,0.083,16.3%
Sphaerodactylus_nigropunctatus,Reptilia,Sauria,1.0,-0.010,0.2,-0.794,16.4%
Acanthodactylus_cantoris,Reptilia,Sauria,2.6,0.418,0.4,-0.367,16.4%
Chalcides_mauritanicus,Reptilia,Sauria,2.7,0.423,0.4,-0.361,16.4%
Cryptoblepharus_novohebridicus,Reptilia,Sauria,0.7,-0.139,0.1,-0.924,16.4%
Lerista_muelleri,Reptilia,Sauria,0.6,-0.210,0.1,-0.992,16.5%
Bunopus_tuberculatus,Reptilia,Sauria,1.5,0.162,0.2,-0.620,16.5%
Eublepharis_turcmenicus,Reptilia,Sauria,30.8,1.489,5.1,0.708,16.6%
Nephrurus_vertebralis,Reptilia,Sauria,10.7,1.028,1.8,0.248,16.6%
Gymnodactylus_darwinii,Reptilia,Sauria,1.3,0.129,0.2,-0.650,16.6%
Anolis_naufragus,Reptilia,Sauria,2.9,0.463,0.5,-0.316,16.6%
Chirindia_langi,Reptilia,Sauria,0.5,-0.323,0.1,-1.099,16.7%
Holbrookia_propinqua,Reptilia,Sauria,5.4,0.731,0.9,-0.045,16.8%
Ctenotus_impar,Reptilia,Sauria,2.6,0.420,0.4,-0.355,16.8%
Riama_inanis,Reptilia,Sauria,2.8,0.446,0.5,-0.330,16.8%
Meroles_cuneirostris,Reptilia,Sauria,2.8,0.445,0.5,-0.331,16.8%
Uma_exsul,Reptilia,Sauria,10.1,1.003,1.7,0.228,16.8%
Morunasaurus_annularis,Reptilia,Sauria,34.0,1.531,5.7,0.757,16.8%
Phelsuma_breviceps,Reptilia,Sauria,2.4,0.387,0.4,-0.382,17.0%
Gehyra_pilbara,Reptilia,Sauria,1.7,0.231,0.3,-0.536,17.1%
Chatogekko_amazonicus,Reptilia,Sauria,0.3,-0.561,0.0,-1.326,17.2%
Leptosiaphos_kilimensis,Reptilia,Sauria,1.6,0.209,0.3,-0.556,17.2%
Gekko_auriverrucosus,Reptilia,Sauria,4.3,0.637,0.8,-0.124,17.3%
Plestiodon_egregius,Reptilia,Sauria,0.8,-0.120,0.1,-0.878,17.4%
Stenocercus_torquatus,Reptilia,Sauria,11.8,1.072,2.1,0.314,17.5%
Lerista_jacksoni,Reptilia,Sauria,0.4,-0.410,0.1,-1.167,17.5%
Sphaerodactylus_roosevelti,Reptilia,Sauria,1.1,0.028,0.2,-0.727,17.6%
Asaccus_platyrhynchus,Reptilia,Sauria,5.5,0.744,1.0,-0.010,17.6%
Omanosaura_cyanura,Reptilia,Sauria,2.9,0.458,0.5,-0.296,17.6%
Gonatodes_naufragus,Reptilia,Sauria,0.5,-0.330,0.1,-1.082,17.7%
Phrynocephalus_golubewii,Reptilia,Sauria,5.2,0.718,0.9,-0.034,17.7%
Aspidoscelis_inornatus,Reptilia,Sauria,4.6,0.662,0.8,-0.087,17.8%
Alsophylax_laevis,Reptilia,Sauria,0.9,-0.045,0.2,-0.793,17.9%
Nephrurus_laevissimus,Reptilia,Sauria,7.8,0.892,1.4,0.146,18.0%
Hemidactylus_yerburii,Reptilia,Sauria,3.8,0.580,0.7,-0.164,18.0%
Trachylepis_dumasi,Reptilia,Sauria,1.4,0.133,0.2,-0.611,18.0%
Lerista_occulta,Reptilia,Sauria,0.4,-0.423,0.1,-1.167,18.0%
Dibamus_bourreti,Reptilia,Sauria,6.4,0.807,1.2,0.065,18.1%
Pseuderemias_striatus,Reptilia,Sauria,1.6,0.216,0.3,-0.525,18.2%
Lerista_micra,Reptilia,Sauria,0.4,-0.426,0.1,-1.167,18.2%
Phyllurus_championae,Reptilia,Sauria,7.5,0.877,1.4,0.137,18.2%
Sceloporus_siniferus,Reptilia,Sauria,4.7,0.671,0.9,-0.067,18.3%
Ophiodes_intermedius,Reptilia,Sauria,17.1,1.234,3.1,0.496,18.3%
Anolis_taylori,Reptilia,Sauria,3.9,0.592,0.7,-0.146,18.3%
Leiocephalus_semilineatus,Reptilia,Sauria,1.7,0.238,0.3,-0.499,18.3%
Lerista_clara,Reptilia,Sauria,0.6,-0.256,0.1,-0.992,18.4%
Leiolopisma_alazon,Reptilia,Sauria,1.7,0.226,0.3,-0.508,18.5%
Ptyodactylus_oudrii,Reptilia,Sauria,3.3,0.513,0.6,-0.220,18.5%
Altiphylax_stoliczkai,Reptilia,Sauria,1.9,0.278,0.4,-0.454,18.5%
Pseudemoia_cryodroma,Reptilia,Sauria,2.2,0.351,0.4,-0.379,18.6%
Bipes_biporus,Reptilia,Sauria,5.6,0.751,1.1,0.022,18.7%
Gerrhosaurus_nigrolineatus,Reptilia,Sauria,16.3,1.213,3.1,0.485,18.7%
Parvoscincus_sisoni,Reptilia,Sauria,0.6,-0.196,0.1,-0.924,18.7%
Liolaemus_audituvelatus,Reptilia,Sauria,3.8,0.578,0.7,-0.149,18.7%
Nessia_monodactyla,Reptilia,Sauria,2.0,0.299,0.4,-0.427,18.8%
Lerista_planiventralis,Reptilia,Sauria,1.2,0.093,0.2,-0.631,18.9%
Pachydactylus_punctatus,Reptilia,Sauria,1.2,0.071,0.2,-0.650,19.0%
Acontias_meleagris,Reptilia,Sauria,7.5,0.877,1.4,0.158,19.1%
Coleodactylus_septentrionalis,Reptilia,Sauria,0.3,-0.516,0.1,-1.235,19.1%
Emoia_mivarti,Reptilia,Sauria,2.3,0.362,0.4,-0.355,19.2%
Feylinia_currori,Reptilia,Sauria,20.3,1.308,3.9,0.592,19.2%
Crotaphytus_reticulatus,Reptilia,Sauria,41.7,1.620,8.0,0.904,19.2%
Liolaemus_manueli,Reptilia,Sauria,3.7,0.566,0.7,-0.149,19.3%
Eutropis_beddomei,Reptilia,Sauria,0.8,-0.080,0.2,-0.790,19.5%
Darevskia_defilippii,Reptilia,Sauria,3.0,0.481,0.6,-0.227,19.6%
Altiphylax_levitoni,Reptilia,Sauria,1.3,0.117,0.3,-0.591,19.6%
Sphaerodactylus_torrei,Reptilia,Sauria,0.8,-0.088,0.2,-0.794,19.6%
Phrynocephalus_luteoguttatus,Reptilia,Sauria,2.0,0.305,0.4,-0.400,19.7%
Ptychoglossus_myersi,Reptilia,Sauria,1.6,0.198,0.3,-0.506,19.8%
Phrynocephalus_albolineatus,Reptilia,Sauria,2.8,0.447,0.6,-0.249,20.1%
Diporiphora_pindan,Reptilia,Sauria,4.4,0.640,0.9,-0.055,20.2%
Cnemidophorus_flavissimus,Reptilia,Sauria,4.1,0.610,0.8,-0.083,20.3%
Tropiocolotes_nattereri,Reptilia,Sauria,0.4,-0.385,0.1,-1.078,20.3%
Eremias_lineolata,Reptilia,Sauria,1.8,0.247,0.4,-0.444,20.4%
Trachylepis_volamenaloha,Reptilia,Sauria,2.4,0.380,0.5,-0.309,20.5%
Bufoniceps_laungwalaensis,Reptilia,Sauria,2.3,0.370,0.5,-0.319,20.5%
Alsophylax_loricatus,Reptilia,Sauria,0.6,-0.230,0.1,-0.917,20.5%
Eremias_vermiculata,Reptilia,Sauria,2.5,0.391,0.5,-0.296,20.6%
Phyllodactylus_gerrhopygus,Reptilia,Sauria,2.1,0.321,0.4,-0.365,20.6%
Cnemidophorus_senectus,Reptilia,Sauria,4.0,0.598,0.8,-0.087,20.7%
Urosaurus_clarionensis,Reptilia,Sauria,5.5,0.739,1.1,0.060,20.9%
Dibamus_bogadeki,Reptilia,Sauria,5.9,0.771,1.2,0.092,21.0%
Xantusia_extorris,Reptilia,Sauria,1.0,0.002,0.2,-0.675,21.1%
Pseuderemias_mucronata,Reptilia,Sauria,2.5,0.404,0.5,-0.272,21.1%
Cyrtodactylus_laevigatus,Reptilia,Sauria,2.0,0.293,0.4,-0.382,21.1%
Meroles_anchietae,Reptilia,Sauria,2.0,0.307,0.4,-0.367,21.2%
Tropiocolotes_nubicus,Reptilia,Sauria,0.6,-0.246,0.1,-0.917,21.3%
Lampropholis_amicula,Reptilia,Sauria,0.4,-0.403,0.1,-1.072,21.4%
Alsophylax_szczerbaki,Reptilia,Sauria,0.6,-0.251,0.1,-0.917,21.6%
Stenocercus_varius,Reptilia,Sauria,18.9,1.276,4.1,0.611,21.6%
Liolaemus_vallecurensis,Reptilia,Sauria,5.9,0.772,1.3,0.108,21.7%
Phyllodactylus_pumilus,Reptilia,Sauria,2.0,0.298,0.4,-0.365,21.7%
Pygopus_lepidopodus,Reptilia,Sauria,11.2,1.050,2.4,0.389,21.8%
Lerista_verhmens,Reptilia,Sauria,0.8,-0.094,0.2,-0.753,21.9%
Emoia_loveridgei,Reptilia,Sauria,1.1,0.046,0.2,-0.611,22.0%
Hemidactylus_isolepis,Reptilia,Sauria,1.3,0.120,0.3,-0.536,22.1%
Lerista_uniduo,Reptilia,Sauria,1.1,0.060,0.3,-0.593,22.2%
Algyroides_fitzingeri,Reptilia,Sauria,0.9,-0.057,0.2,-0.710,22.2%
Sphaerodactylus_armasi,Reptilia,Sauria,0.2,-0.643,0.1,-1.295,22.3%
Ptyctolaemus_collicristatus,Reptilia,Sauria,14.4,1.157,3.2,0.506,22.3%
Gehyra_montium,Reptilia,Sauria,1.7,0.240,0.4,-0.407,22.6%
Typhlacontias_punctatissimus,Reptilia,Sauria,1.2,0.072,0.3,-0.573,22.6%
Scelotes_duttoni,Reptilia,Sauria,1.6,0.205,0.4,-0.439,22.7%
Liolaemus_heliodermis,Reptilia,Sauria,14.1,1.148,3.3,0.512,23.1%
Cnemaspis_otai,Reptilia,Sauria,0.8,-0.078,0.2,-0.711,23.3%
Gambelia_wislizenii,Reptilia,Sauria,47.6,1.678,11.2,1.051,23.6%
Lipinia_vittigera,Reptilia,Sauria,0.9,-0.024,0.2,-0.648,23.8%
Pachydactylus_monicae,Reptilia,Sauria,2.5,0.398,0.6,-0.225,23.8%
Acontias_gariepensis,Reptilia,Sauria,3.9,0.587,0.9,-0.033,24.0%
Phrynocephalus_melanurus,Reptilia,Sauria,2.4,0.382,0.6,-0.237,24.0%
Lialis_burtonis,Reptilia,Sauria,13.0,1.114,3.1,0.495,24.1%
Philochortus_neumanni,Reptilia,Sauria,12.3,1.089,3.0,0.471,24.1%
Xantusia_wigginsi,Reptilia,Sauria,0.9,-0.031,0.2,-0.645,24.3%
Crotaphytus_bicinctores,Reptilia,Sauria,33.6,1.527,8.2,0.914,24.4%
Ophisops_occidentalis,Reptilia,Sauria,2.2,0.336,0.5,-0.272,24.7%
Lygodactylus_gravis,Reptilia,Sauria,1.1,0.045,0.3,-0.563,24.7%
Hemidactylus_tropidolepis,Reptilia,Sauria,1.3,0.120,0.3,-0.482,25.0%
Lerista_vittata,Reptilia,Sauria,2.0,0.296,0.5,-0.303,25.1%
Phyllodactylus_angustidigitus,Reptilia,Sauria,2.9,0.464,0.7,-0.132,25.4%
Lepidoblepharis_duolepis,Reptilia,Sauria,1.2,0.082,0.3,-0.514,25.4%
Crotaphytus_collaris,Reptilia,Sauria,34.9,1.542,8.9,0.951,25.6%
Paroedura_vazimba,Reptilia,Sauria,2.2,0.341,0.6,-0.246,25.9%
Sphenomorphus_florensis,Reptilia,Sauria,4.7,0.669,1.2,0.083,25.9%
Leiocephalus_pratensis,Reptilia,Sauria,2.2,0.344,0.6,-0.243,25.9%
Cnemaspis_alantika,Reptilia,Sauria,2.3,0.364,0.6,-0.217,26.2%
Leptosiaphos_rhodurus,Reptilia,Sauria,9.1,0.960,2.4,0.386,26.7%
Scincella_victoriana,Reptilia,Sauria,2.9,0.469,0.8,-0.100,27.0%
Eremias_scripta,Reptilia,Sauria,1.6,0.195,0.4,-0.367,27.4%
Pachydactylus_reconditus,Reptilia,Sauria,1.6,0.205,0.4,-0.354,27.6%
Aprasia_repens,Reptilia,Sauria,5.7,0.756,1.6,0.200,27.8%
Ptychoglossus_gorgonae,Reptilia,Sauria,2.7,0.432,0.8,-0.121,28.0%
Anolis_carpenteri,Reptilia,Sauria,1.4,0.136,0.4,-0.411,28.4%
Pletholax_gracilis,Reptilia,Sauria,3.4,0.532,1.0,-0.014,28.5%
Delma_fraseri,Reptilia,Sauria,5.8,0.764,1.7,0.221,28.7%
Latastia_boscai,Reptilia,Sauria,2.7,0.438,0.8,-0.101,28.9%
Draco_bourouniensis,Reptilia,Sauria,5.2,0.717,1.5,0.179,29.0%
Aprasia_inaurita,Reptilia,Sauria,6.2,0.789,1.8,0.253,29.1%
Pygopus_nigriceps,Reptilia,Sauria,10.7,1.029,3.1,0.495,29.2%
Sphaerodactylus_molei,Reptilia,Sauria,0.4,-0.400,0.1,-0.934,29.3%
Lepidophyma_cuicateca,Reptilia,Sauria,2.8,0.455,0.8,-0.075,29.6%
Lerista_allochira,Reptilia,Sauria,0.4,-0.361,0.1,-0.890,29.6%
Gambelia_sila,Reptilia,Sauria,39.2,1.593,11.6,1.066,29.7%
Pachydactylus_austeni,Reptilia,Sauria,2.1,0.323,0.6,-0.204,29.7%
Aprasia_pulchella,Reptilia,Sauria,5.8,0.764,1.7,0.241,30.0%
Delma_impar,Reptilia,Sauria,4.1,0.613,1.2,0.095,30.3%
Phrynocephalus_interscapularis,Reptilia,Sauria,0.9,-0.034,0.3,-0.549,30.5%
Draco_modiglianii,Reptilia,Sauria,2.5,0.405,0.8,-0.106,30.8%
Acanthodactylus_boueti,Reptilia,Sauria,4.3,0.629,1.3,0.119,30.9%
Sphenomorphus_darlingtoni,Reptilia,Sauria,3.3,0.520,1.0,0.013,31.1%
Brachymeles_minimus,Reptilia,Sauria,0.9,-0.058,0.3,-0.563,31.2%
Lepidoblepharis_grandis,Reptilia,Sauria,3.7,0.563,1.2,0.064,31.7%
Tropiocolotes_scorteccii,Reptilia,Sauria,0.4,-0.347,0.1,-0.845,31.8%
Aprasia_striolata,Reptilia,Sauria,6.1,0.785,2.0,0.290,32.0%
Delma_butleri,Reptilia,Sauria,3.9,0.589,1.2,0.095,32.1%
Delma_australis,Reptilia,Sauria,3.1,0.497,1.0,0.006,32.3%
Delma_grayii,Reptilia,Sauria,5.1,0.711,1.7,0.221,32.4%
Delma_tincta,Reptilia,Sauria,3.1,0.486,1.0,0.006,33.1%
Lerista_humphriesi,Reptilia,Sauria,0.7,-0.151,0.2,-0.628,33.4%
Delma_borea,Reptilia,Sauria,3.4,0.530,1.2,0.095,36.7%
Crotaphytus_grismeri,Reptilia,Sauria,30.1,1.479,13.7,1.138,45.6%
Asaccus_gallagheri,Reptilia,Sauria,1.0,-0.018,0.5,-0.291,53.4%
Eunectes_notaeus,Reptilia,Serpentes,12882.5,4.110,53.7,1.730,0.4%
Eunectes_murinus,Reptilia,Serpentes,28840.3,4.460,177.8,2.250,0.6%
Tropidolaemus_wagleri,Reptilia,Serpentes,269.2,2.430,2.1,0.320,0.8%
Xenochrophis_flavipunctatus,Reptilia,Serpentes,44.7,1.650,0.4,-0.420,0.9%
Nerodia_sipedon,Reptilia,Serpentes,218.8,2.340,1.9,0.270,0.9%
Enhydris_enhydris,Reptilia,Serpentes,63.1,1.800,0.5,-0.260,0.9%
Bothrops_jararacussu,Reptilia,Serpentes,1445.4,3.160,12.9,1.110,0.9%
Cerberus_rynchops,Reptilia,Serpentes,182.0,2.260,1.6,0.210,0.9%
Notechis_scutatus,Reptilia,Serpentes,257.0,2.410,2.3,0.370,0.9%
Nerodia_erythrogaster,Reptilia,Serpentes,316.2,2.500,3.0,0.470,0.9%
Thamnophis_brachystoma,Reptilia,Serpentes,43.7,1.640,0.4,-0.390,0.9%
Atractus_gigas,Reptilia,Serpentes,154.9,2.190,1.5,0.170,1.0%
Farancia_abacura,Reptilia,Serpentes,446.7,2.650,4.3,0.630,1.0%
Nerodia_rhombifer,Reptilia,Serpentes,302.0,2.480,3.2,0.510,1.1%
Laticauda_colubrina,Reptilia,Serpentes,524.8,2.720,5.9,0.770,1.1%
Thamnophis_postremus,Reptilia,Serpentes,120.2,2.080,1.3,0.130,1.1%
Xenochrophis_piscator,Reptilia,Serpentes,70.8,1.850,0.8,-0.090,1.1%
Nerodia_cyclopion,Reptilia,Serpentes,177.8,2.250,2.0,0.310,1.1%
Liodytes_rigida,Reptilia,Serpentes,93.3,1.970,1.1,0.060,1.2%
Xenochrophis_vittatus,Reptilia,Serpentes,27.5,1.440,0.3,-0.470,1.2%
Myron_richardsonii,Reptilia,Serpentes,32.4,1.510,0.4,-0.390,1.3%
Bitis_arietans,Reptilia,Serpentes,371.5,2.570,4.8,0.680,1.3%
Pseudonaja_ingrami,Reptilia,Serpentes,575.4,2.760,7.4,0.870,1.3%
Anilios_affinis,Reptilia,Serpentes,5.6,0.750,0.1,-1.120,1.3%
Bothrops_moojeni,Reptilia,Serpentes,1047.1,3.020,14.1,1.150,1.3%
Porthidium_lansbergii,Reptilia,Serpentes,46.8,1.670,0.6,-0.190,1.4%
Lachesis_muta,Reptilia,Serpentes,3890.5,3.590,55.0,1.740,1.4%
Thamnophis_sirtalis,Reptilia,Serpentes,64.6,1.810,1.0,-0.020,1.5%
Thamnophis_ordinoides,Reptilia,Serpentes,52.5,1.720,0.8,-0.090,1.5%
Pseudoferania_polylepis,Reptilia,Serpentes,223.9,2.350,3.5,0.540,1.5%
Fordonia_leucobalia,Reptilia,Serpentes,125.9,2.100,1.9,0.290,1.5%
Pseudonaja_textilis,Reptilia,Serpentes,316.2,2.500,5.0,0.700,1.6%
Thamnophis_proximus,Reptilia,Serpentes,141.3,2.150,2.2,0.350,1.6%
