Class,Order,Family,Species,Average weight (gr) (Species),SD (gr) (Species),n (Species),Average weight (gr) (Female),SD (gr) (Female),n (Female),Average weight (gr) (Male),SD (gr) (Male),n (Male),Average weight (gr) (Undetermined),SD (gr) (Undeterminated),n (Undeterminated)
Aves,Galbuliformes,Bucconidae,Chelidoptera_tenebrosa,34,2,12,34,2,5,34,1,5,33,1,2
Aves,Piciformes,Capitonidae,Capito_aurovirens,49,3,3,49,0,1,53,0,1,45,0,1
Aves,Piciformes,Capitonidae,Capito_maculicoronatus,53,4,6,53,5,3,53,3,3,,,
Aves,Piciformes,Capitonidae,Capito_hypoleucus,67,0,1,,,,,,,67,0,1
Aves,Piciformes,Capitonidae,Capito_auratus,55,8,7,55,11,3,58,6,3,50,0,1
Aves,Piciformes,Capitonidae,Eubucco_richardsoni,26,0,1,26,0,1,,,,,,
Aves,Piciformes,Capitonidae,Eubucco_bourcierii,39,3,22,39,3,8,40,2,10,39,4,4
Aves,Piciformes,Semnornithidae,Semnornis_ramphastinus,52,37,2,15,0,1,,,,88,0,1
Aves,Piciformes,Ramphastidae,Ramphastos_ambiguus,539,23,7,538,26,5,541,11,2,,,
Aves,Piciformes,Ramphastidae,Ramphastos_tucanus,712,128,9,550,0,1,739,128,7,680,0,1
Aves,Piciformes,Ramphastidae,Ramphastos_sulfuratus,353,0,1,353,0,1,,,,,,
Aves,Piciformes,Ramphastidae,Ramphastos_brevis,437,0,1,,,,437,0,1,,,
Aves,Piciformes,Ramphastidae,Ramphastos_vitellinus,378,36,9,348,21,3,393,30,4,392,37,2
Aves,Piciformes,Ramphastidae,Aulacorhynchus_prasinus,166,19,33,159,15,8,167,20,19,173,16,6
Aves,Piciformes,Ramphastidae,Aulacorhynchus_haematopygus,202,27,21,195,11,5,233,16,4,194,28,12
Aves,Piciformes,Ramphastidae,Andigena_hypoglauca,331,21,3,,,,342,18,2,310,0,1
Aves,Piciformes,Ramphastidae,Andigena_laminirostris,278,42,2,278,42,2,,,,,,
Aves,Piciformes,Ramphastidae,Andigena_nigrirostris,332,60,8,264,37,3,361,10,2,382,25,3
Aves,Piciformes,Ramphastidae,Selenidera_spectabilis,305,95,2,210,0,1,400,0,1,,,
Aves,Piciformes,Ramphastidae,Selenidera_reinwardtii,163,12,3,160,0,1,165,15,2,,,
Aves,Piciformes,Ramphastidae,Selenidera_nattereri,142,0,1,,,,142,0,1,,,
Aves,Piciformes,Ramphastidae,Pteroglossus_inscriptus,95,5,2,,,,95,5,2,,,
Aves,Piciformes,Ramphastidae,Pteroglossus_torquatus,211,18,20,208,16,10,217,21,6,209,13,4
Aves,Piciformes,Ramphastidae,Pteroglossus_pluricinctus,240,40,2,240,40,2,,,,,,
Aves,Piciformes,Ramphastidae,Pteroglossus_azara,143,20,9,146,21,5,139,17,4,,,
Aves,Piciformes,Picidae,Picumnus_pumilus,9,1,5,10,0,1,8,1,4,,,
Aves,Piciformes,Picidae,Picumnus_lafresnayi,9,0,2,9,0,1,9,0,1,,,
Aves,Piciformes,Picidae,Picumnus_squamulatus,10,0,50,10,0,11,11,0,12,10,0,27
Aves,Piciformes,Picidae,Picumnus_olivaceus,10,1,13,10,0,4,10,1,9,,,
Aves,Piciformes,Picidae,Picumnus_cinnamomeus,13,1,7,13,1,4,12,0,2,12,0,1
Aves,Piciformes,Picidae,Melanerpes_formicivorus,68,5,2,68,5,2,,,,,,
Aves,Piciformes,Picidae,Melanerpes_cruentatus,57,2,3,60,0,1,55,1,2,,,
Aves,Piciformes,Picidae,Melanerpes_pulcher,58,0,1,,,,58,0,1,,,
Aves,Piciformes,Picidae,Melanerpes_pucherani,418,0,1,,,,418,0,1,,,
Aves,Piciformes,Picidae,Melanerpes_rubricapillus,47,5,25,45,4,8,49,4,12,45,4,5
Aves,Piciformes,Picidae,Picoides_fumigatus,40,3,31,38,2,4,41,3,19,39,3,8
Aves,Piciformes,Picidae,Veniliornis_kirkii,28,2,15,27,2,6,30,2,8,26,0,1
Aves,Piciformes,Picidae,Veniliornis_passerinus,26,2,5,24,0,1,27,2,2,27,1,2
Aves,Piciformes,Picidae,Veniliornis_dignus,35,3,6,30,0,1,36,3,4,38,0,1
Aves,Piciformes,Picidae,Veniliornis_nigriceps,26,12,3,13,0,1,33,9,2,,,
Aves,Piciformes,Picidae,Veniliornis_affinis,33,6,3,,,,30,0,1,35,7,2
Aves,Piciformes,Picidae,Campephilus_pollens,189,11,4,186,9,2,192,13,2,,,
Aves,Piciformes,Picidae,Campephilus_haematogaster,222,31,3,212,33,2,,,,242,0,1
Aves,Piciformes,Picidae,Campephilus_rubricollis,226,11,2,237,0,1,215,0,1,,,
Aves,Piciformes,Picidae,Campephilus_melanoleucos,230,20,11,222,26,5,237,9,6,,,
Aves,Piciformes,Picidae,Dryocopus_lineatus,189,17,10,191,8,3,197,16,5,168,5,2
Aves,Piciformes,Picidae,Celeus_loricatus,73,3,8,75,2,3,70,2,3,72,0,2
Aves,Piciformes,Picidae,Celeus_grammicus,67,8,4,78,0,1,67,1,2,55,0,1
Aves,Piciformes,Picidae,Celeus_flavus,108,8,2,,,,108,8,2,,,
Aves,Piciformes,Picidae,Celeus_elegans,132,7,8,133,8,6,130,3,2,,,
Aves,Piciformes,Picidae,Piculus_flavigula,64,10,5,70,0,1,62,11,4,,,
Aves,Piciformes,Picidae,Piculus_chrysochloros,90,0,2,,,,90,0,2,,,
Aves,Piciformes,Picidae,Colaptes_rubiginosus,77,2,14,77,2,5,78,3,8,79,0,1
Aves,Piciformes,Picidae,Colaptes_rivolii,102,8,12,100,8,8,98,3,2,111,1,2
Aves,Piciformes,Picidae,Colaptes_punctigula,59,10,23,54,12,10,63,5,9,60,9,4
Aves,Falconiformes,Falconidae,Herpetotheres_cachinnans,573,42,7,542,10,3,597,41,4,,,
Aves,Falconiformes,Falconidae,Micrastur_ruficollis,169,16,12,196,0,1,161,20,4,169,10,7
Aves,Falconiformes,Falconidae,Micrastur_gilvicollis,195,8,3,185,0,1,200,5,2,,,
Aves,Falconiformes,Falconidae,Micrastur_mirandollei,675,0,1,675,0,1,,,,,,
Aves,Falconiformes,Falconidae,Micrastur_semitorquatus,632,48,3,,,,632,48,3,,,
Aves,Falconiformes,Falconidae,Caracara_cheriway,1072,62,3,1115,15,2,987,0,1,,,
Aves,Falconiformes,Falconidae,Ibycter_americanus,575,85,7,689,0,1,556,77,6,,,
Aves,Falconiformes,Falconidae,Daptrius_ater,390,34,7,423,8,3,376,20,3,336,0,1
Aves,Falconiformes,Falconidae,Milvago_chimachima,297,83,11,315,99,6,297,60,3,246,1,2
Aves,Falconiformes,Falconidae,Falco_sparverius,91,12,5,83,6,3,97,0,1,112,0,1
Aves,Falconiformes,Falconidae,Falco_rufigularis,126,17,3,,,,126,17,3,,,
Aves,Falconiformes,Falconidae,Falco_femoralis,213,9,3,,,,213,9,3,,,
Aves,Psittaciformes,Psittacidae,Touit_huetii,66,4,4,70,1,2,62,1,2,,,
Aves,Psittaciformes,Psittacidae,Touit_purpuratus,64,0,1,64,0,1,,,,,,
Aves,Psittaciformes,Psittacidae,Bolborhynchus_lineola,49,0,1,,,,,,,49,0,1
Aves,Psittaciformes,Psittacidae,Bolborhynchus_ferrugineifrons,64,0,3,64,0,1,,,,65,1,2
Aves,Psittaciformes,Psittacidae,Brotogeris_sanctithomae,25,4,7,24,1,4,27,6,3,,,
Aves,Psittaciformes,Psittacidae,Brotogeris_versicolurus,66,0,1,66,0,1,,,,,,
Aves,Psittaciformes,Psittacidae,Brotogeris_jugularis,58,4,16,56,2,5,60,3,6,55,5,5
Aves,Psittaciformes,Psittacidae,Brotogeris_cyanoptera,66,11,15,61,10,6,71,11,7,60,10,2
Aves,Psittaciformes,Psittacidae,Hapalopsittaca_amazonina,118,3,2,120,0,1,115,0,1,,,
Aves,Psittaciformes,Psittacidae,Pyrilia_pulchra,124,0,1,124,0,1,,,,,,
Aves,Psittaciformes,Psittacidae,Pyrilia_pyrilia,120,17,2,120,17,2,,,,,,
Aves,Psittaciformes,Psittacidae,Pyrilia_barrabandi,193,12,6,,,,193,12,6,,,
Aves,Psittaciformes,Psittacidae,Pionus_tumultuosus,295,5,2,,,,300,0,1,290,0,1
Aves,Psittaciformes,Psittacidae,Pionus_menstruus,219,51,8,207,44,4,232,55,4,,,
Aves,Psittaciformes,Psittacidae,Pionus_chalcopterus,320,0,1,320,0,1,,,,,,
Aves,Psittaciformes,Psittacidae,Graydidascalus_brachyurus,195,5,2,190,0,1,200,0,1,,,
Aves,Psittaciformes,Psittacidae,Amazona_festiva,380,20,2,380,20,2,,,,,,
Aves,Psittaciformes,Psittacidae,Amazona_autumnalis,463,76,3,357,0,1,516,16,2,,,
Aves,Psittaciformes,Psittacidae,Amazona_ochrocephala,336,88,11,299,56,5,418,67,2,342,101,4
Aves,Psittaciformes,Psittacidae,Amazona_farinosa,664,36,8,672,29,4,657,40,4,,,
Aves,Psittaciformes,Psittacidae,Amazona_amazonica,438,33,3,,,,396,0,1,459,19,2
Aves,Psittaciformes,Psittacidae,Forpus_modestus,21,1,4,,,,21,1,4,,,
Aves,Psittaciformes,Psittacidae,Forpus_xanthopterygius,20,4,2,20,4,2,,,,,,
Aves,Psittaciformes,Psittacidae,Forpus_passerinus,21,1,2,20,0,1,22,0,1,,,
Aves,Psittaciformes,Psittacidae,Forpus_conspicillatus,24,4,13,23,3,3,23,4,6,26,3,4
Aves,Psittaciformes,Psittacidae,Pionites_melanocephalus,138,14,5,140,8,3,155,0,1,116,0,1
Aves,Psittaciformes,Psittacidae,Deroptyus_accipitrinus,313,7,2,,,,320,0,1,306,0,1
Aves,Psittaciformes,Psittacidae,Pyrrhura_viridicata,82,0,1,,,,82,0,1,,,
Aves,Psittaciformes,Psittacidae,Pyrrhura_melanura,74,3,6,74,3,4,75,0,2,,,
Aves,Psittaciformes,Psittacidae,Pyrrhura_calliptera,88,2,3,85,0,1,89,1,2,,,
Aves,Psittaciformes,Psittacidae,Eupsittula_pertinax,77,7,13,77,5,6,75,6,5,84,9,2
Aves,Psittaciformes,Psittacidae,Ara_ararauna,985,152,3,911,135,2,1134,0,1,,,
Aves,Psittaciformes,Psittacidae,Ara_ambiguus,858,345,3,742,372,2,1089,0,1,,,
Aves,Psittaciformes,Psittacidae,Ara_macao,1228,144,5,1127,96,3,1380,0,2,,,
Aves,Psittaciformes,Psittacidae,Ara_chloropterus,1147,92,4,1177,27,2,1117,120,2,,,
Aves,Psittaciformes,Psittacidae,Ara_severus,337,34,7,335,38,5,340,20,2,,,
Aves,Psittaciformes,Psittacidae,Leptosittaca_branickii,155,5,2,150,0,1,159,0,1,,,
Aves,Psittaciformes,Psittacidae,Psittacara_wagleri,196,14,2,196,14,2,,,,,,
Aves,Psittaciformes,Psittacidae,Psittacara_leucophthalmus,169,0,1,,,,169,0,1,,,
Aves,Passeriformes,Thamnophilidae,Euchrepomis_callinota,8,0,1,,,,8,0,1,,,
Aves,Passeriformes,Thamnophilidae,Euchrepomis_spodioptila,5,0,1,,,,,,,5,0,1
Aves,Passeriformes,Thamnophilidae,Cymbilaimus_lineatus,38,7,3,,,,38,7,3,,,
Aves,Passeriformes,Thamnophilidae,Taraba_major,63,5,13,65,8,4,63,3,9,,,
Aves,Passeriformes,Thamnophilidae,Sakesphorus_canadensis,25,3,22,26,3,11,24,3,11,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_doliatus,28,2,12,28,2,7,27,2,5,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_multistriatus,26,2,6,27,2,4,25,0,1,25,0,1
Aves,Passeriformes,Thamnophilidae,Thamnophilus_tenuepunctatus,26,2,3,26,3,2,26,0,1,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_atrinucha,21,2,98,21,2,37,22,2,46,21,2,15
Aves,Passeriformes,Thamnophilidae,Thamnophilus_schistaceus,20,1,6,20,0,4,20,1,2,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_murinus,16,1,8,16,0,1,16,1,6,17,0,1
Aves,Passeriformes,Thamnophilidae,Thamnophilus_nigriceps,23,3,25,24,2,12,23,3,13,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_praecox,28,1,2,27,0,1,28,0,1,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_nigrocinereus,27,2,30,26,3,10,27,2,20,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_punctatus,19,2,9,21,2,3,19,1,6,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_unicolor,23,2,40,23,2,14,23,2,26,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_aethiops,24,1,6,24,1,3,23,0,3,,,
Aves,Passeriformes,Thamnophilidae,Thamnophilus_melanonotus,22,2,4,21,2,3,,,,25,0,1
Aves,Passeriformes,Thamnophilidae,Thamnophilus_amazonicus,17,2,18,17,2,10,17,1,8,,,
Aves,Passeriformes,Thamnophilidae,Megastictus_margaritatus,20,1,4,19,0,1,21,0,3,,,
Aves,Passeriformes,Thamnophilidae,Neoctantes_niger,29,0,1,,,,29,0,1,,,
Aves,Passeriformes,Thamnophilidae,Thamnistes_anabatinus,21,0,5,21,0,1,21,0,1,21,0,3
Aves,Passeriformes,Thamnophilidae,Dysithamnus_mentalis,15,1,87,15,1,34,15,1,40,15,1,13
Aves,Passeriformes,Thamnophilidae,Dysithamnus_puncticeps,17,1,19,17,2,7,17,1,12,,,
Aves,Passeriformes,Thamnophilidae,Dysithamnus_occidentalis,25,1,18,25,1,9,26,1,6,25,1,3
Aves,Passeriformes,Thamnophilidae,Dysithamnus_leucostictus,20,1,12,21,2,4,20,1,7,19,0,1
Aves,Passeriformes,Thamnophilidae,Thamnomanes_ardesiacus,18,2,12,17,1,3,18,2,8,19,0,1
Aves,Passeriformes,Thamnophilidae,Thamnomanes_caesius,16,2,15,16,2,8,15,1,7,,,
Aves,Passeriformes,Thamnophilidae,Isleria_hauxwelli,11,1,12,11,2,7,11,1,4,10,0,1
Aves,Passeriformes,Thamnophilidae,Pygiptila_stellaris,22,1,2,21,0,1,23,0,1,,,
Aves,Passeriformes,Thamnophilidae,Epinecrophylla_fulviventris,10,1,74,11,1,27,10,1,33,10,1,14
Aves,Passeriformes,Thamnophilidae,Epinecrophylla_haematonota,8,1,6,8,1,2,8,1,4,,,
Aves,Passeriformes,Thamnophilidae,Epinecrophylla_spodionota,10,1,4,11,0,1,10,1,3,,,
Aves,Passeriformes,Thamnophilidae,Epinecrophylla_ornata,12,4,4,10,1,2,14,5,2,,,
Aves,Passeriformes,Thamnophilidae,Myrmotherula_ignota,7,0,1,,,,7,0,1,,,
Aves,Passeriformes,Thamnophilidae,Myrmotherula_pacifica,10,0,10,9,0,3,10,0,7,,,
Aves,Passeriformes,Thamnophilidae,Myrmotherula_cherriei,8,1,15,8,1,8,8,0,7,,,
Aves,Passeriformes,Thamnophilidae,Myrmotherula_axillaris,10,9,69,8,1,24,8,1,34,16,22,11
Aves,Passeriformes,Thamnophilidae,Myrmotherula_schisticolor,10,1,91,10,1,31,10,1,46,10,1,14
Aves,Passeriformes,Thamnophilidae,Myrmotherula_longipennis,8,0,10,8,0,3,8,0,7,,,
Aves,Passeriformes,Thamnophilidae,Myrmotherula_behni,9,0,1,,,,9,0,1,,,
Aves,Passeriformes,Thamnophilidae,Myrmotherula_menetriesii,8,1,6,9,1,2,7,1,4,,,
Aves,Passeriformes,Thamnophilidae,Dichrozona_cincta,13,0,3,13,1,2,13,0,1,,,
Aves,Passeriformes,Thamnophilidae,Microrhopias_quixensis,8,1,7,9,0,3,8,1,3,9,0,1
Aves,Passeriformes,Thamnophilidae,Formicivora_grisea,10,1,48,10,1,23,10,1,24,10,0,1
Aves,Passeriformes,Thamnophilidae,Drymophila_hellmayri,12,0,5,12,0,2,12,0,2,12,0,1
Aves,Passeriformes,Thamnophilidae,Drymophila_caudata,12,1,6,12,1,4,14,0,1,12,0,1
Aves,Passeriformes,Thamnophilidae,Drymophila_striaticeps,13,1,9,12,0,3,13,1,5,12,0,1
Aves,Passeriformes,Thamnophilidae,Hypocnemis_flavescens,12,1,5,12,1,3,12,0,2,,,
Aves,Passeriformes,Thamnophilidae,Hypocnemis_peruviana,13,1,5,14,1,2,13,0,3,,,
Aves,Passeriformes,Thamnophilidae,Hypocnemis_hypoxantha,12,1,5,14,0,1,12,1,3,10,0,1
Aves,Passeriformes,Thamnophilidae,Cercomacroides_parkeri,18,1,8,17,1,2,19,1,3,18,0,3
Aves,Passeriformes,Thamnophilidae,Cercomacroides_tyrannina,17,3,19,16,1,7,17,1,11,27,0,1
Aves,Passeriformes,Thamnophilidae,Cercomacroides_serva,16,0,1,,,,16,0,1,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra_nigricans,17,2,9,17,3,4,17,1,5,,,
Aves,Passeriformes,Thamnophilidae,Pyriglena_leuconota,32,3,9,29,1,5,34,2,4,,,
Aves,Passeriformes,Thamnophilidae,Myrmoborus_leucophrys,21,1,5,21,2,2,21,0,2,22,0,1
Aves,Passeriformes,Thamnophilidae,Myrmoborus_myotherinus,18,3,11,17,4,5,19,1,6,,,
Aves,Passeriformes,Thamnophilidae,Hypocnemoides_melanopogon,12,1,22,12,1,12,12,1,9,13,0,1
Aves,Passeriformes,Thamnophilidae,Gymnocichla_nudiceps,32,2,14,31,2,6,33,1,8,,,
Aves,Passeriformes,Thamnophilidae,Sclateria_naevia,21,2,10,21,2,4,21,2,6,,,
Aves,Passeriformes,Thamnophilidae,Percnostola_rufifrons,23,1,20,23,1,10,23,1,10,,,
Aves,Passeriformes,Thamnophilidae,Myrmelastes_schistaceus,26,2,4,26,1,2,27,3,2,,,
Aves,Passeriformes,Thamnophilidae,Myrmelastes_leucostigma,25,1,3,,,,26,1,2,25,0,1
Aves,Passeriformes,Thamnophilidae,Myrmeciza_longipes,28,1,9,28,1,4,28,0,3,29,0,2
Aves,Passeriformes,Thamnophilidae,Poliocrania_exsul,25,2,89,25,2,28,25,2,46,25,2,15
Aves,Passeriformes,Thamnophilidae,Sipia_palliata,25,1,3,26,0,1,25,1,2,,,
Aves,Passeriformes,Thamnophilidae,Sipia_nigricauda,24,2,7,21,0,1,24,1,4,25,1,2
Aves,Passeriformes,Thamnophilidae,Akletos_melanoceps,41,1,4,,,,41,1,4,,,
Aves,Passeriformes,Thamnophilidae,Hafferia_fortis,48,5,2,,,,48,5,2,,,
Aves,Passeriformes,Thamnophilidae,Hafferia_zeledoni,43,3,23,42,3,7,45,1,10,43,3,6
Aves,Passeriformes,Thamnophilidae,Hafferia_immaculata,40,4,7,38,4,4,42,3,3,,,
Aves,Passeriformes,Thamnophilidae,Aprositornis_disjuncta,13,2,3,12,0,1,14,2,2,,,
Aves,Passeriformes,Thamnophilidae,Ammonastes_pelzelni,16,1,6,16,1,2,16,0,3,15,0,1
Aves,Passeriformes,Thamnophilidae,Myrmornis_torquata,51,0,1,51,0,1,,,,,,
Aves,Passeriformes,Thamnophilidae,Pithys_albifrons,19,1,20,20,1,7,20,1,9,19,0,4
Aves,Passeriformes,Thamnophilidae,Gymnopithys_bicolor,33,3,76,32,2,5,28,1,4,34,2,67
Aves,Passeriformes,Thamnophilidae,Gymnopithys_leucaspis,31,4,66,30,4,10,28,3,8,32,3,48
Aves,Passeriformes,Thamnophilidae,Rhegmatorhina_cristata,33,1,3,33,1,2,33,0,1,,,
Aves,Passeriformes,Thamnophilidae,Rhegmatorhina_melanosticta,28,0,1,,,,28,0,1,,,
Aves,Passeriformes,Thamnophilidae,Hylophylax_naevioides,17,1,12,18,2,4,16,1,8,,,
Aves,Passeriformes,Thamnophilidae,Hylophylax_naevius,12,1,10,11,1,6,12,2,4,,,
Aves,Passeriformes,Thamnophilidae,Hylophylax_punctulatus,12,1,6,12,0,3,12,1,2,12,0,1
Aves,Passeriformes,Thamnophilidae,Willisornis_poecilinotus,17,1,22,17,1,9,17,1,9,17,1,4
Aves,Passeriformes,Thamnophilidae,Phlegopsis_nigromaculata,48,1,5,49,0,1,47,0,1,48,1,3
Aves,Passeriformes,Thamnophilidae,Phlegopsis_erythroptera,54,4,6,54,4,3,54,4,3,,,
Aves,Passeriformes,Thamnophilidae,Phaenostictus_mcleannani,50,3,17,54,0,1,,,,50,3,16
Aves,Passeriformes,Conopophagidae,Conopophaga_aurita,21,1,3,21,1,2,22,0,1,,,
Aves,Passeriformes,Conopophagidae,Conopophaga_castaneiceps,26,3,20,25,2,11,27,3,8,27,0,1
Aves,Passeriformes,Grallariidae,Grallaria_squamigera,128,2,3,,,,128,2,3,,,
Aves,Passeriformes,Grallariidae,Grallaria_alleni,76,0,1,,,,76,0,1,,,
Aves,Passeriformes,Grallariidae,Grallaria_guatimalensis,61,16,4,67,3,2,55,20,2,,,
Aves,Passeriformes,Grallariidae,Grallaria_ruficapilla,77,7,3,72,0,1,79,7,2,,,
Aves,Passeriformes,Grallariidae,Grallaria_bangsi,61,2,2,,,,61,2,2,,,
Aves,Passeriformes,Grallariidae,Grallaria_rufocinerea,45,0,1,,,,45,0,1,,,
Aves,Passeriformes,Grallariidae,Grallaria_nuchalis,104,4,2,107,0,1,100,0,1,,,
Aves,Passeriformes,Grallariidae,Grallaria_flavotincta,72,0,1,,,,,,,72,0,1
Aves,Passeriformes,Grallariidae,Grallaria_rufula,35,1,11,35,1,6,36,1,5,,,
Aves,Passeriformes,Grallariidae,Grallaria_quitensis,62,21,8,67,22,3,63,19,3,55,20,2
Aves,Passeriformes,Grallariidae,Grallaria_milleri,53,2,2,55,0,1,51,0,1,,,
Aves,Passeriformes,Grallariidae,Hylopezus_perspicillatus,43,2,3,,,,,,,43,2,3
Aves,Passeriformes,Grallariidae,Myrmothera_campanisona,40,1,3,39,0,2,41,0,1,,,
Aves,Passeriformes,Grallariidae,Grallaricula_flavirostris,19,2,27,18,2,4,20,1,4,20,1,19
Aves,Passeriformes,Grallariidae,Grallaricula_lineifrons,21,0,1,,,,,,,21,0,1
Aves,Passeriformes,Grallariidae,Grallaricula_cucullata,19,1,12,19,1,5,19,1,5,18,1,2
Aves,Passeriformes,Grallariidae,Grallaricula_ferrugineipectus,17,1,31,17,2,11,17,1,6,16,1,14
Aves,Passeriformes,Grallariidae,Grallaricula_nana,20,2,33,20,2,11,19,2,10,20,2,12
Aves,Passeriformes,Rhinocryptidae,Liosceles_thoracicus,39,1,2,,,,39,1,2,,,
Aves,Passeriformes,Rhinocryptidae,Myornis_senilis,19,1,4,18,1,2,19,0,1,20,0,1
Aves,Passeriformes,Rhinocryptidae,Scytalopus_latrans,18,2,58,18,2,11,18,2,20,19,2,27
Aves,Passeriformes,Rhinocryptidae,Scytalopus_micropterus,24,2,8,23,1,4,25,1,4,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_atratus,25,2,3,,,,25,2,3,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_rodriguezi,18,2,3,,,,18,2,3,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_stilesi,21,1,3,20,0,2,22,0,1,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_vicinior,21,2,8,21,2,4,21,4,2,22,0,2
Aves,Passeriformes,Rhinocryptidae,Scytalopus_latebricola,20,2,2,18,0,1,22,0,1,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_perijanus,19,0,1,,,,19,0,1,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_spillmanni,84,99,7,22,2,2,,,,109,108,5
Aves,Passeriformes,Rhinocryptidae,Scytalopus_griseicollis,17,1,35,17,1,12,18,1,23,,,
Aves,Passeriformes,Rhinocryptidae,Scytalopus_opacus,18,0,1,,,,,,,18,0,1
Aves,Passeriformes,Formicariidae,Formicarius_colma,46,8,4,,,,46,8,4,,,
Aves,Passeriformes,Formicariidae,Formicarius_analis,60,1,5,60,0,1,60,1,4,,,
Aves,Passeriformes,Formicariidae,Formicarius_nigricapillus,55,4,14,54,0,1,47,0,1,55,3,12
Aves,Passeriformes,Formicariidae,Formicarius_rufipectus,74,6,6,,,,67,0,1,75,6,5
Aves,Passeriformes,Formicariidae,Chamaeza_campanisona,79,2,2,,,,80,0,1,77,0,1
Aves,Passeriformes,Formicariidae,Chamaeza_turdina,67,3,9,62,0,1,69,2,7,65,0,1
Aves,Passeriformes,Formicariidae,Chamaeza_mollissima,67,4,2,,,,63,0,1,71,0,1
Aves,Passeriformes,Furnariidae,Sclerurus_mexicanus,24,1,27,25,2,5,25,1,3,24,1,19
Aves,Passeriformes,Furnariidae,Sclerurus_rufigularis,20,1,3,21,0,1,20,0,1,18,0,1
Aves,Passeriformes,Furnariidae,Sclerurus_guatemalensis,34,1,9,34,0,2,33,0,1,35,1,6
Aves,Passeriformes,Furnariidae,Sclerurus_caudacutus,37,0,1,,,,37,0,1,,,
Aves,Passeriformes,Furnariidae,Sclerurus_albigularis,34,2,4,33,0,1,,,,34,2,3
Aves,Passeriformes,Furnariidae,Certhiasomus_stictolaemus,19,1,3,,,,19,1,3,,,
Aves,Passeriformes,Furnariidae,Sittasomus_griseicapillus,15,1,5,15,2,2,15,1,2,15,0,1
Aves,Passeriformes,Furnariidae,Deconychura_longicauda,26,1,2,26,0,1,,,,25,0,1
Aves,Passeriformes,Furnariidae,Dendrocincla_tyrannina,49,6,40,46,5,10,53,4,7,50,6,23
Aves,Passeriformes,Furnariidae,Dendrocincla_merula,45,2,19,45,1,4,45,2,10,45,3,5
Aves,Passeriformes,Furnariidae,Dendrocincla_homochroa,44,3,32,39,2,3,48,0,1,45,3,28
Aves,Passeriformes,Furnariidae,Dendrocincla_fuliginosa,39,4,232,36,4,33,40,4,27,39,4,172
Aves,Passeriformes,Furnariidae,Glyphorynchus_spirurus,14,1,526,13,1,27,13,1,42,14,1,457
Aves,Passeriformes,Furnariidae,Nasica_longirostris,84,5,5,81,3,2,89,4,2,81,0,1
Aves,Passeriformes,Furnariidae,Dendrocolaptes_sanctithomae,77,6,22,73,4,6,69,1,2,80,6,14
Aves,Passeriformes,Furnariidae,Dendrocolaptes_certhia,74,8,5,83,2,2,70,1,2,64,0,1
Aves,Passeriformes,Furnariidae,Dendrocolaptes_picumnus,64,7,15,59,2,4,64,7,8,70,8,3
Aves,Passeriformes,Furnariidae,Xiphocolaptes_promeropirhynchus,122,12,10,115,10,5,130,4,3,127,16,2
Aves,Passeriformes,Furnariidae,Xiphorhynchus_obsoletus,29,3,32,27,2,8,30,3,17,28,4,7
Aves,Passeriformes,Furnariidae,Xiphorhynchus_ocellatus,39,7,16,38,6,5,43,8,6,36,5,5
Aves,Passeriformes,Furnariidae,Xiphorhynchus_elegans,39,6,2,33,0,1,45,0,1,,,
Aves,Passeriformes,Furnariidae,Xiphorhynchus_susurrans,43,5,128,41,4,28,45,4,36,44,5,64
Aves,Passeriformes,Furnariidae,Xiphorhynchus_guttatus,48,9,21,43,6,9,55,9,6,48,7,6
Aves,Passeriformes,Furnariidae,Xiphorhynchus_lachrymosus,57,6,12,46,2,2,60,4,3,58,3,7
Aves,Passeriformes,Furnariidae,Xiphorhynchus_erythropygius,48,3,103,49,3,5,47,4,3,48,3,95
Aves,Passeriformes,Furnariidae,Xiphorhynchus_triangularis,45,2,30,46,2,6,44,2,15,47,2,9
Aves,Passeriformes,Furnariidae,Dendroplex_picus,38,4,48,40,4,13,39,4,16,37,4,19
Aves,Passeriformes,Furnariidae,Dendroplex_kienerii,47,0,1,47,0,1,,,,,,
Aves,Passeriformes,Furnariidae,Campylorhamphus_trochilirostris,37,2,13,35,2,3,37,2,3,38,2,7
Aves,Passeriformes,Furnariidae,Campylorhamphus_procurvoides,34,0,1,,,,34,0,1,,,
Aves,Passeriformes,Furnariidae,Campylorhamphus_pusillus,40,4,29,37,5,4,38,1,6,42,3,19
